log_name,HOMO,LUMO,μ,η,ω,polar_iso(au),polar_aniso(au),dipole(Debye),volume(Bohr_radius³/mol),SASA_surface_area(Å²),SASA_volume(Å³),SASA_sphericity,NMR_isotropic_shielding_Pt,NMR_isotropic_shielding_N1,NMR_isotropic_shielding_N2,distance_Pt_N1(Å),distance_Pt_N2(Å),angle_N1_Pt_N2(°),%Vbur_Pt_2.0Å,%Vbur_N1_2.0Å,%Vbur_N2_2.0Å,%Vbur_Pt_2.5Å,%Vbur_N1_2.5Å,%Vbur_N2_2.5Å,%Vbur_Pt_3.0Å,%Vbur_N1_3.0Å,%Vbur_N2_3.0Å,%Vbur_Pt_3.5Å,%Vbur_N1_3.5Å,%Vbur_N2_3.5Å,%Vbur_Pt_4.0Å,%Vbur_N1_4.0Å,%Vbur_N2_4.0Å,Sterimol_L_Pt_N1(Å)_morfeus,Sterimol_B1_Pt_N1(Å)_morfeus,Sterimol_B5_Pt_N1(Å)_morfeus,Sterimol_L_Pt_N2(Å)_morfeus,Sterimol_B1_Pt_N2(Å)_morfeus,Sterimol_B5_Pt_N2(Å)_morfeus,Buried_Sterimol_L_Pt_N1_5.0(Å),Buried_Sterimol_B1_Pt_N1_5.0(Å),Buried_Sterimol_B5_Pt_N1_5.0(Å),Buried_Sterimol_L_Pt_N2_5.0(Å),Buried_Sterimol_B1_Pt_N2_5.0(Å),Buried_Sterimol_B5_Pt_N2_5.0(Å),Sterimol_B1_Pt_N1(Å)_dbstep,Sterimol_B5_Pt_N1(Å)_dbstep,Sterimol_L_Pt_N1(Å)_dbstep,Sterimol_B1_Pt_N2(Å)_dbstep,Sterimol_B5_Pt_N2(Å)_dbstep,Sterimol_L_Pt_N2(Å)_dbstep,Sterimol_Bmin_Pt_N1_0.0Å(Å),Sterimol_Bmax_Pt_N1_0.0Å(Å),Sterimol_Bmin_Pt_N1_1.0Å(Å),Sterimol_Bmax_Pt_N1_1.0Å(Å),Sterimol_Bmin_Pt_N2_0.0Å(Å),Sterimol_Bmax_Pt_N2_0.0Å(Å),Sterimol_Bmin_Pt_N2_1.0Å(Å),Sterimol_Bmax_Pt_N2_1.0Å(Å),Hirsh_charge_Pt,Hirsh_CM5_charge_Pt,Hirsh_atom_dipole_Pt,Hirsh_charge_N1,Hirsh_CM5_charge_N1,Hirsh_atom_dipole_N1,Hirsh_charge_N2,Hirsh_CM5_charge_N2,Hirsh_atom_dipole_N2,G(T)_spc(Hartree)
CHEMBL1743593-conf_5,-0.5353,-0.32692,-0.43111,0.20838,0.44595,123.916,54.3186,0,1953.636,380.309770431369,585.435331588823,0.889882352511093,-89.1891,232.0424,232.0397,2.11124,2.11121,88.522,77.5116219008264,97.5045196280992,97.4722365702479,75.2230108086991,84.2997135043625,84.322502930069,72.6720798569726,71.3879991060787,71.4345575089392,68.5997484159523,61.215290719344,61.2310147223258,61.0983955061759,51.5148811371113,51.5094500651729,5.37986359684114,2.78086356378312,5.05940855542075,5.37984848370961,2.78042933208568,5.05941673928137,5.37986359684114,2.78086356378312,5.05940855542075,5.37984848370961,2.78042933208568,5.05941673928137,2.75,5.04207298638169,4.95,2.75,5.04207298638169,4.95,2.52232403322489,5.04207298638169,2.38705816517957,5.04207298638169,2.52232403322488,5.04207298638169,2.38705816517957,5.04207298638169,0.218271,0.563726,0.563726000012417,-0.057516,-0.576813,0.583124966403429,-0.057517,-0.576815,0.583126219623162,-578.437397
CHEMBL1743593-conf_6,-0.53536,-0.32763,-0.431495,0.20773,0.44815,123.112,52.3695,0.2182,1817.713,379.959778987237,585.272295773613,0.890536674399416,-92.6291,234.8496,236.5748,2.10934,2.11464,178.675,77.3792613636364,97.5497159090909,97.6142820247934,75.4574163302513,84.2362286756088,84.6203932803751,73.1888781287247,71.4475938617402,71.9252830750894,69.0289554603056,61.2036433097279,61.7871785314946,61.2655949351375,51.3903544162374,52.1607907640742,5.37294688832045,2.45688811859615,5.05865333718043,5.30558214688877,2.46674462652202,5.05818122269728,5.37294688832045,2.45688811859615,5.05865333718043,5.30558214688877,2.46674462652202,5.05818122269728,2.4,5.02493781056045,4.95,2.44588334543414,5.01597448159378,4.85,2.39676358099818,5.02493781056045,1.9546299179848,5.02493781056045,2.41646728090232,5.01597448159378,2.4,4.9623583103198,0.219329,0.564605,0.56478523246806,-0.057093,-0.576511,0.582790067737946,-0.056736,-0.575784,0.582383326173578,-578.431808
CHEMBL1743593-conf_7,-0.53726,-0.32751,-0.432385,0.20975,0.44567,122.383,45.9327,0.4802,1285.359,378.999852519223,585.225372749814,0.892744496268286,-82.687,232.5829,232.5831,2.11303,2.11303,179.433,77.5019369834711,97.9080578512397,97.9080578512397,75.9262273733559,84.5634197161089,84.561791899987,73.6432881406436,71.5090509535161,71.5090509535161,69.5396943719717,61.143659150205,61.1430767797242,61.9243063745267,51.2409999379306,51.2409999379306,5.37055128901195,2.05775694960397,4.96972780650599,5.37055027975722,2.05782811619582,4.96973295739304,5.37055128901195,2.05775694960397,4.96972780650599,5.37055027975722,2.05782811619582,4.96973295739304,2.04594426737158,4.95706566428164,4.95,2.04594426737158,4.95706566428164,4.95,2.04594426737158,4.94216551726063,1.96304533679449,4.94974746830583,2.04594426737158,4.94216551726063,1.96304533679449,4.94974746830583,0.218107,0.565006,0.56537730517328,-0.057319,-0.576693,0.583108127809071,-0.05732,-0.576693,0.583108241487805,-578.427386
CHEMBL1743593-conf_8,-0.53736,-0.32758,-0.43247,0.20978,0.44578,122.48,46.3892,0.6067,1521.277,378.769844020277,584.658350437047,0.892709522346587,-82.7092,232.0129,232.0131,2.11784,2.11784,90.961,77.6342975206611,97.6530216942149,97.65625,75.8562312801146,84.2883187915093,84.2866909753874,73.508268772348,71.5854067342074,71.5844755661502,69.4261321282147,61.2531448005963,61.2513976891539,61.8548662404568,51.1894047545155,51.1897926882254,5.37587454549691,2.05123852631336,4.98682858739442,5.37587365789129,2.05063203067502,4.98684113381431,5.37587454549691,2.05123852631336,4.98682858739442,5.37587365789129,2.05063203067502,4.98684113381431,2,4.95706566428164,4.95,2,4.95706566428164,4.95,1.99682450293563,4.94974746830583,1.99682450293563,4.94974746830583,1.99682450293563,4.94974746830583,1.99682450293563,4.94974746830583,0.218316,0.565152,0.565536638665436,-0.058445,-0.5768,0.583253834582337,-0.058445,-0.5768,0.583253821763733,-578.427107
CHEMBL1743593-conf_9,-0.53719,-0.32746,-0.432325,0.20973,0.44558,122.839,50.9817,0.3606,1313.258,379.559851492339,585.353914007649,0.891557875931512,-82.8065,232.213,236.5067,2.11776,2.10346,88.104,77.6924070247934,97.7466425619835,97.5723140495868,75.9799453053783,84.3420367235317,84.8059643182706,73.6079037544696,71.6356898092968,71.9383194278903,69.4896105106224,61.328852963101,61.7126351099515,61.9033579541928,51.225870523245,52.1759201787599,5.37344627573965,2.75913817555804,4.98846542885543,5.33351320434472,2.78903574825402,4.97068785170328,5.37344627573965,2.75913817555804,4.98846542885543,5.33351320434472,2.78903574825402,4.97068785170328,2.71991207073669,4.97317805834458,4.95,2.76935776427054,4.96009072497671,4.9,2.45986403211604,4.94772675074119,1.93571307176224,4.9520197899443,2.47165642529967,4.93583832798442,2.38601902243802,4.96009072497671,0.21842,0.565287,0.565332267022678,-0.058627,-0.576942,0.583397980672714,-0.056284,-0.577484,0.583720291313399,-578.427364
CHEMBL1743593,-0.53536,-0.32763,-0.431495,0.20773,0.44815,123.112,52.3686,0.2183,1105.139,379.709773816242,584.931034673576,0.890776582179863,-92.6386,234.1595,237.0874,2.10915,2.11501,178.444,77.4373708677686,97.4786931818182,97.7014462809917,75.4720666753483,84.1873941919521,84.7538742023701,73.1609430870084,71.4075536352801,71.9904648390942,68.9881895266493,61.1558889303019,61.7994083115915,61.2780088138539,51.3705697970331,52.1122990503383,5.37637783928965,2.55416283743075,5.05620571140132,5.30592362538318,2.52185426345536,5.04866243358585,5.37637783928965,2.55416283743075,5.05620571140132,5.30592362538318,2.52185426345536,5.04866243358585,2.54781188003102,5.0202091589893,4.95,2.48370216613263,5.02493781056045,4.85,2.02578686176348,5.0202091589893,2.01624641199465,5.0202091589893,2.01602039357012,5.02493781056045,2.45659767150474,4.95807422292164,0.219326,0.564592,0.564772982480572,-0.05688,-0.576429,0.582732695098705,-0.056983,-0.575933,0.582518057308956,-578.431807
CHEMBL1743594-conf_10,-0.4869,-0.32849,-0.407695,0.15841,0.52464,271.729,65.6584,2.115,2704.366,599.336965204831,1074.19047046779,0.846318673795614,-208.4856,222.3779,211.2084,2.1247,2.09831,88.646,99.2284349173554,97.368930785124,98.7312758264463,98.985870556062,86.6974866519078,93.4757129834614,97.5817565554231,77.3232643027414,88.8054976162098,95.0993524040254,69.5903606038017,84.10012113306,89.047079635032,61.8381850909317,78.0340295450313,5.40613401388787,4.18453135830384,7.03673839743777,5.89299295884471,4.17180376185285,7.14248883184908,5.40613401388787,4.18453135830384,6.78523804353495,5.89299295884471,4.17180376185285,6.79469063419247,4.18193163437815,7.01231060350296,4.95,4.17509786447896,7.11969100453103,5.45,4.18193163437815,6.82367203197809,3.64221050646231,6.44457135890355,4.17509786447896,7.07990112925315,4.17509786447896,7.11969100453103,0.539448,1.024916,1.02491904571532,-0.051799,-0.57338,0.579362745480757,-0.054001,-0.58513,0.589682410955253,-1569.758125
CHEMBL1743594-conf_1,-0.49395,-0.32951,-0.41173,0.16444,0.51545,273.476,98.6023,0.0009,3357.104,594.376828395915,1070.08521885545,0.85120565007373,-208.3971,218.1893,223.2021,2.11537,2.10836,91.945,99.244576446281,98.308367768595,97.682076446281,99.0591222815471,91.0828232842818,89.2319963536919,97.6106227651967,84.6422452324195,82.0722213945173,94.9124114796869,78.4080320536713,75.917233507268,88.8247936192663,71.3313109055924,69.2659518341506,5.96073770106884,4.12271943621272,7.08749245851665,5.38881604818801,4.45361333046898,7.12301092669481,5.96073770106884,4.12271943621272,6.60920026905002,5.38881604818801,4.45361333046898,6.77891551370781,4.100134266116,7.07053746189072,5.55,4.45601003908184,7.10228836361915,4.95,4.100134266116,6.97226648945664,3.65,7.07053746189072,4.45601003908184,7.06912300076891,4.06716022976283,7.10228836361915,0.537928,1.021607,1.02160700001615,-0.065196,-0.589283,0.594659839113085,-0.052624,-0.577244,0.582465329635164,-1569.760201
CHEMBL1743594-conf_2,-0.48917,-0.32819,-0.40868,0.16098,0.51876,273.41,93.8536,0.6162,3611.069,599.306746633357,1073.01399597426,0.845743266770622,-207.893,216.5335,222.7903,2.11172,2.10904,91.769,99.2736311983471,98.2922262396694,97.7272727272727,99.1340018231541,91.0063159265529,89.3817554369059,97.7465733015495,84.2604663289631,82.0573227056019,95.0644101751771,77.9002049944092,75.6924385016772,88.9008286264043,70.8176866737012,68.9602600707591,5.96350374897526,4.04027059812822,7.06286916573635,5.37648520186632,4.44232996065606,7.1302881790336,5.96350374897526,4.04027059812822,6.58181103976887,5.37648520186632,4.44232996065606,6.77859914181415,4.01766112877986,7.04592080568608,5.55,4.43732675877748,7.11688133946323,4.95,4.01766112877986,6.94064118075557,3.75,6.94064118075557,4.43732675877748,7.08801805866774,4.09114497443667,6.67083203206317,0.53974,1.025084,1.02508947533569,-0.063814,-0.587853,0.593235747555725,-0.049988,-0.576427,0.581532487053819,-1569.760623
CHEMBL1743594-conf_3,-0.48336,-0.32536,-0.40436,0.158,0.51743,272.752,93.1383,1.3849,3364.649,599.536677808985,1074.90185448161,0.846410239986682,-201.2234,216.2114,215.0125,2.10523,2.10083,93.877,99.3026859504132,98.2922262396694,97.7240444214876,99.150279984373,91.1023570777445,89.6308113035552,97.8145485697259,84.8945917759237,82.8674389153754,95.1040113678718,78.7172707789788,77.2817275437943,88.7491465458382,71.6854943827199,71.3561386630253,5.90885931504893,4.18036301981514,7.07973478444195,5.35674072022773,4.47211276712432,7.19574523005502,5.90885931504893,4.18036301981514,6.72946676008535,5.35674072022773,4.47211276712432,6.84468969517813,4.17139926246847,7.06151541809547,5.45,4.47297869896611,7.18401002226472,4.9,4.17139926246847,6.91393520363042,3.94642581696098,7.06151541809547,4.47297869896611,7.17025104163027,4.2093054713115,7.18401002226472,0.540628,1.030051,1.03015385601909,-0.062365,-0.588271,0.593648528113226,-0.04549,-0.572815,0.577851922030203,-1569.756713
