log_name,HOMO,LUMO,μ,η,ω,polar_iso(au),polar_aniso(au),dipole(Debye),volume(Bohr_radius³/mol),SASA_surface_area(Å²),SASA_volume(Å³),SASA_sphericity,NMR_isotropic_shielding_Pt,NMR_isotropic_shielding_N1,NMR_isotropic_shielding_N2,distance_Pt_N1(Å),distance_Pt_N2(Å),angle_N1_Pt_N2(°),%Vbur_Pt_2.0Å,%Vbur_N1_2.0Å,%Vbur_N2_2.0Å,%Vbur_Pt_2.5Å,%Vbur_N1_2.5Å,%Vbur_N2_2.5Å,%Vbur_Pt_3.0Å,%Vbur_N1_3.0Å,%Vbur_N2_3.0Å,%Vbur_Pt_3.5Å,%Vbur_N1_3.5Å,%Vbur_N2_3.5Å,%Vbur_Pt_4.0Å,%Vbur_N1_4.0Å,%Vbur_N2_4.0Å,Sterimol_L_Pt_N1(Å)_morfeus,Sterimol_B1_Pt_N1(Å)_morfeus,Sterimol_B5_Pt_N1(Å)_morfeus,Sterimol_L_Pt_N2(Å)_morfeus,Sterimol_B1_Pt_N2(Å)_morfeus,Sterimol_B5_Pt_N2(Å)_morfeus,Buried_Sterimol_L_Pt_N1_5.0(Å),Buried_Sterimol_B1_Pt_N1_5.0(Å),Buried_Sterimol_B5_Pt_N1_5.0(Å),Buried_Sterimol_L_Pt_N2_5.0(Å),Buried_Sterimol_B1_Pt_N2_5.0(Å),Buried_Sterimol_B5_Pt_N2_5.0(Å),Sterimol_B1_Pt_N1(Å)_dbstep,Sterimol_B5_Pt_N1(Å)_dbstep,Sterimol_L_Pt_N1(Å)_dbstep,Sterimol_B1_Pt_N2(Å)_dbstep,Sterimol_B5_Pt_N2(Å)_dbstep,Sterimol_L_Pt_N2(Å)_dbstep,Sterimol_Bmin_Pt_N1_0.0Å(Å),Sterimol_Bmax_Pt_N1_0.0Å(Å),Sterimol_Bmin_Pt_N1_1.0Å(Å),Sterimol_Bmax_Pt_N1_1.0Å(Å),Sterimol_Bmin_Pt_N2_0.0Å(Å),Sterimol_Bmax_Pt_N2_0.0Å(Å),Sterimol_Bmin_Pt_N2_1.0Å(Å),Sterimol_Bmax_Pt_N2_1.0Å(Å),Hirsh_charge_Pt,Hirsh_CM5_charge_Pt,Hirsh_atom_dipole_Pt,Hirsh_charge_N1,Hirsh_CM5_charge_N1,Hirsh_atom_dipole_N1,Hirsh_charge_N2,Hirsh_CM5_charge_N2,Hirsh_atom_dipole_N2,G(T)_spc(Hartree)
CHEMBL1743594-conf_4,-0.49086,-0.32676,-0.40881,0.1641,0.50922,273.801,98.8392,1.4438,3439.629,600.21707160326,1072.77114269294,0.844333140536194,-203.7639,215.7925,216.5105,2.10429,2.10605,93.786,99.2574896694215,97.6853047520661,98.2825413223141,99.0721448105222,89.5917437166298,91.0779398359161,97.7037395709178,82.525700238379,84.7884386174017,94.8372856876631,76.4722325754752,78.5932258665673,88.2716001489665,70.4080286760598,71.3580783315747,5.35975611776908,4.42732112621121,7.33018179911678,5.91012372633455,4.19561532076235,7.08739412292699,5.35975611776908,4.42732112621121,7.0188818783024,5.91012372633455,4.19561532076235,6.60451317523061,4.4145543061032,7.31641988953614,4.9,4.19149209253227,7.07106781186548,5.45,4.4145543061032,7.31641988953614,3.99441995486826,7.31641988953614,3.96686737903153,6.93000721500346,3.59109306607524,7.07106781186548,0.539145,1.027201,1.02731671086525,-0.046636,-0.573099,0.578077250721735,-0.062846,-0.588606,0.59403543603307,-1569.756472
CHEMBL1743594-conf_5,-0.4899,-0.32873,-0.409315,0.16117,0.51976,272.533,70.5625,2.4705,3293.237,598.617084081738,1074.09101042446,0.84728412986599,-208.6062,212.1483,222.6634,2.09843,2.12732,88.338,99.2510330578512,98.7829287190083,97.3850723140496,98.9923818205495,93.7817424143769,86.6893475712983,97.5938617401669,89.0047675804529,77.3214019666269,95.0789694371972,84.1653466269102,69.5589125978382,89.0451399664825,77.9851498975855,61.8238315436658,5.89588314308094,4.26557769802196,7.17763357146242,5.40747428486215,4.21121846591491,7.26298240204524,5.89588314308094,4.26557769802196,6.81601935542098,5.40747428486215,4.21121846591491,6.88786143245108,4.25817591679057,7.15489343037337,5.45,4.21158701610351,7.25,4.95,4.25817591679057,7.14317856419675,4.25817591679057,7.15489343037337,4.21158701610351,7.25,3.64890923627309,7.00357051795725,0.538028,1.022791,1.0227937158973,-0.053713,-0.585458,0.589968174467064,-0.051985,-0.573021,0.579023933766127,-1569.756976
CHEMBL1743594-conf_6,-0.48478,-0.32537,-0.405075,0.15941,0.51467,275.659,107.193,1.6935,3264.206,605.57677592896,1082.4198718206,0.841870743948051,-204.5582,216.9792,215.0043,2.10769,2.10111,91.47,99.2574896694215,98.308367768595,97.5723140495868,99.0591222815471,91.1463081130356,88.8266701393411,97.6683551847437,84.7735399284863,81.5172452324195,94.646268169959,78.5577012672382,75.2865262765561,87.7467258394885,71.3503196573769,69.0580193656508,5.95744200977958,4.19644268667954,7.15245752788696,5.38711749349746,4.42627104471794,7.8520351585726,5.95744200977958,4.19644268667954,6.73956198599396,5.38711749349746,4.42627104471794,7.43116770955866,4.18665348372114,7.11424627068813,5.5,4.41530522648881,7.80784861533573,4.95,3.98471569587807,6.98713102782537,3.65089401086971,7.07831194565484,4.41530522648881,7.80784861533573,4.10872292354057,7.80784861533573,0.537307,1.024574,1.02466602393463,-0.062574,-0.588567,0.593920496148264,-0.050581,-0.575598,0.580726592728454,-1569.756616
CHEMBL1743594-conf_7,-0.4798,-0.32242,-0.40111,0.15738,0.51115,272.697,100.67,0.0004,3810.134,605.286424250586,1080.45208592315,0.841253464850416,-196.5017,213.1198,215.1697,2.11103,2.10497,95.714,99.3091425619835,98.3503357438017,97.9080578512397,99.2349264227113,90.662846724834,88.9715457741893,98.0035756853397,83.4289332538737,81.1680572109654,95.1162411479687,76.9660827431979,74.8998322773015,88.3934113338713,69.8528955372106,68.2565483210229,6.21636027773841,4.65776414546821,6.91375375678524,5.39155978892985,4.62912773641854,7.08227817831491,5.35431483331438,4.58141065654318,6.68880416670799,5.39155978892985,4.54332030353173,6.79088354974002,4.64127297114351,6.90253576593414,5.8,4.62107228404748,7.05141829705202,4.95,4.41760813498901,6.89655711206686,3.74430143325616,6.89655711206686,4.56211144567501,6.95215793836705,3.81392101587299,7.05141829705202,0.541601,1.035149,1.0351490000029,-0.053215,-0.579008,0.584642867845833,-0.043512,-0.568919,0.574566384486597,-1569.754657
CHEMBL1743594-conf_8,-0.48075,-0.32287,-0.40181,0.15788,0.51131,273.472,101.577,0.5362,2985.28,606.346832056259,1079.00403251368,0.839031739819668,-198.6498,212.3704,214.8887,2.11062,2.10479,96.483,99.2897727272727,98.2728564049587,97.917742768595,99.1453965360073,91.1463081130356,89.0089855449928,97.8732121573302,84.767952920143,81.2537246722289,94.8460212448751,78.6334094297428,75.0396011926947,87.9166408044194,71.3871733598163,68.3609024889827,5.88502508809529,4.66882323479394,6.90082920563199,5.39686888827661,4.45765289451889,7.30370646879247,5.57322338394856,4.37848272043612,6.65425471276455,5.39686888827661,4.45765289451889,7.02565736358932,4.64931942815951,6.87622716320513,5.45,4.44077770390807,7.29126189352707,4.95,3.97824921314954,6.87622716320513,3.7213931343361,6.79282709922754,4.44077770390807,7.28354309385206,4.14064173168038,7.05761999543756,0.540304,1.032504,1.03250468090077,-0.056381,-0.579987,0.585662757376632,-0.043642,-0.569111,0.574748780813844,-1569.753987
CHEMBL1743594-conf_9,-0.49572,-0.33121,-0.413465,0.16451,0.51958,272.022,98.3452,0.8403,3361.031,590.036826644915,1064.46097637443,0.854459538588618,-208.8483,216.8652,225.5416,2.11454,2.11679,93.718,99.2348915289256,98.3115960743802,97.7305010330579,98.821461127751,91.8902200807397,89.2547857793984,97.2493295589988,86.1144219308701,82.1029499404052,94.6992638837123,79.920448192322,76.0051714498696,88.9861740425796,72.6122680156415,69.4397461361803,5.67327225730721,3.97235324672943,7.01159948735791,5.41237252603405,4.39602663526422,7.16524262729843,5.38593216272973,3.97235324672943,6.52315777429418,5.41237252603405,4.39602663526422,6.847902454039,3.96978618121998,6.99160210538329,5.25,4.39056587334013,7.15017482303755,5,3.96978618121998,6.66820815511933,3.54958241075291,6.49191805247109,4.39056587334013,7.13600028026905,4.12120096279429,7.03651191997853,0.538306,1.022645,1.02265587055862,-0.060824,-0.587593,0.593071431321725,-0.053814,-0.577487,0.582573054475574,-1569.757678
CHEMBL1743594,-0.42418,-0.35386,-0.38902,0.07032,1.07606,284.969,149.877,1.7719,3264.974,673.193463621729,1162.61577595303,0.794270394663952,-200.8869,213.2002,215.7573,2.0986,2.11677,87.947,99.2800878099174,98.1856921487603,98.3148243801653,99.4921213699701,89.0838650865998,88.7550462299779,98.5455154946365,80.6298420738975,79.700536352801,94.5408591129333,73.2214405516213,72.3146897130078,85.7143411333871,65.5790298553783,64.9637669914965,6.04745931780503,4.35365617515624,9.79347822555328,5.30909543306771,4.21917338291173,9.44189719194871,5.40533528984474,4.31209652787435,6.62983159083432,5.30909543306771,4.21917338291173,6.43610470336705,4.3454317813923,9.75628002878146,5.6,4.20258360256471,9.4266908297663,4.85,4.31768557473432,9.30483745156249,4.1491561161355,8.03196738041185,4.00198185928971,7.86670197732188,3.81208936831798,8.86242066255038,0.533804,1.020496,1.02055233684559,-0.047098,-0.573095,0.57905333555727,-0.044733,-0.569136,0.575601191062875,-1569.689441
CHEMBL2068442-conf_1,-0.21666,-0.04201,-0.129335,0.17465,0.04789,159.883,81.4623,15.0087,1718.48,429.386485964558,678.403503210113,0.869549828855723,-126.3772,230.5377,230.6674,2.09822,2.0969,94.946,79.5680526859504,97.446410123967,97.5012913223141,77.1763901549681,83.6550983200938,83.6550983200938,73.777376340882,70.2091403456496,70.1765494636472,68.2963333954528,59.7465523667536,59.4571142377935,60.1301129662963,50.1800012413879,49.8874992241326,5.34126471096061,2.66620200849781,6.07350659654711,5.34173054381894,2.69058567038287,5.98267779126402,5.34126471096061,2.66620200849781,6.07350659654711,5.34173054381894,2.69058567038287,5.59949386312165,2.64300929503777,6.0518592184551,4.9,2.68854326289206,5.97097144525077,4.9,2.4202676393314,5.83309523323595,2.50925190230138,5.33127564472144,2.44417371702407,5.51543289325507,2.52005126483384,5.28512062303217,0.171419,0.5011,0.502533630370147,-0.069612,-0.594312,0.600116315728876,-0.069316,-0.594184,0.599964816916792,-882.314474
CHEMBL2068442-conf_2,-0.2165,-0.04214,-0.12932,0.17436,0.04796,159.248,75.0972,15.1562,1608.524,428.126477803942,678.443782554834,0.872143498765787,-126.1283,230.6037,230.7937,2.09815,2.09712,94.672,79.7359245867769,97.5238894628099,97.5109762396694,77.3961453314234,83.6876546425316,83.6876546425316,74.0278605482717,70.3087753277712,70.1914481525626,68.4786153559448,59.9404817368617,59.6161013790533,60.2569672894296,50.4457358326609,50.1784495065483,5.34616644197671,2.04369122485222,6.11040547732471,5.34505739425963,2.04815362464206,6.09900626161095,5.34616644197671,2.04369122485222,6.11040547732471,5.34505739425963,2.04815362464206,5.64145529551849,2.02932271536992,6.09118215127409,4.9,2.03608159920699,6.08296802556121,4.9,1.76910132387838,5.99604036010433,1.92094729634301,5.3352600686377,1.8175637440532,5.51769879569373,1.93199001061076,5.28795801798766,0.173557,0.503398,0.505431700934953,-0.069368,-0.594214,0.599929420709637,-0.069032,-0.594026,0.599711570114334,-882.314172
CHEMBL2068442-conf_3,-0.21573,-0.0479,-0.131815,0.16783,0.05176,159.345,79.6359,15.3334,1779.036,429.846439251404,679.287813554823,0.869374050994706,-135.2775,235.9402,235.6469,2.10444,2.10584,92.078,79.7230113636364,97.5690857438017,97.5109762396694,77.8356556843339,83.874853496549,83.8243911967704,74.5902860548272,70.6141984505364,70.6412023241955,68.7831951174059,60.0872390980246,60.3632827059262,60.3147694122028,50.6889702687605,50.9368599093787,5.27904096065513,2.3281870660688,6.00511265561904,5.27093753787725,2.46462264982543,6.06027294052032,5.27904096065513,2.3281870660688,5.5656475941188,5.27093753787725,2.46462264982543,6.06027294052032,2.32632646481706,5.99082632030006,4.85,2.45534202681287,6.04524606612502,4.85,2.3202329976468,5.50318089835324,2.19988426503213,5.21775813927783,1.83284968805668,5.83545199620389,2.33280927109054,5.24046753639406,0.174162,0.501871,0.50210157685074,-0.068206,-0.592081,0.597774784878051,-0.06897,-0.592379,0.598166249575317,-882.306381
CHEMBL2068442,-0.21667,-0.042,-0.129335,0.17467,0.04788,159.884,81.4632,15.0073,2370.226,429.306483592014,678.175782926043,0.869517236204833,-126.3811,230.5407,230.6711,2.09824,2.09693,94.952,79.4841167355372,97.5012913223141,97.5109762396694,77.1112775100925,83.6127751009246,83.6876546425316,73.7643399880811,70.1597884386174,70.1998286650775,68.2654677599702,59.7308283637719,59.4460491986582,60.120802557259,50.1668114952517,49.8820681521942,5.34135318147919,2.66674255487346,6.07312208119645,5.3418044603926,2.69009373914296,5.98243244217419,5.34135318147919,2.66674255487346,6.07312208119645,5.3418044603926,2.69009373914296,5.59970750294003,2.64300929503777,6.0518592184551,4.9,2.68854326289206,5.97034337370976,4.9,2.41330898428339,5.83309523323595,2.50925190230138,5.33127564472144,2.44417371702407,5.51543289325507,2.52005126483384,5.28512062303217,0.171405,0.50108,0.502514172445912,-0.069617,-0.594312,0.600116970682383,-0.069321,-0.594186,0.599967746747273,-882.314472
CHEMBL611190-conf_10,-0.36289,-0.18074,-0.271815,0.18215,0.20281,141.86,44.1708,7.4034,1719.374,387.599853235329,612.418597569745,0.899772607880513,-82.0904,1053.3654,236.2805,2.32608,2.10471,86.75,80.1233212809917,36.4378873966942,98.3019111570248,79.3462690454486,35.2243130615966,86.1684464122933,77.2264228247914,33.6207538736591,74.0120306912992,72.7328317182259,31.551667909057,64.1766446142378,64.7197566879772,29.1408044193408,54.5489106821426,4.4760818085687,2.90378445208068,5.208557445381,5.39516252039216,2.68750536851235,5.11318423254173,4.4760818085687,2.90378445208068,5.208557445381,5.39516252039216,2.68750536851235,5.11318423254173,2.86988922501015,5.18483365210495,4.05,2.68187823055236,5.08846735274974,4.95,2.69027692302522,5.05593710403917,1.90825006137645,4.58530260724415,2.61840389481525,5.08846735274974,1.90210670009851,5.08846735274974,0.160981,0.469413,0.478247840958012,-0.281848,-0.322784,0.32293528456488,-0.061351,-0.587517,0.59394536291228,-1021.77085
CHEMBL611190-conf_1,-0.36317,-0.17918,-0.271175,0.18399,0.19984,141.98,46.0142,7.4397,1989.445,385.279885866742,610.720350585983,0.903516419128927,-82.1915,233.3354,230.0792,2.08744,2.09806,175.83,80.3041064049587,97.6175103305785,97.8305785123967,79.3592915744238,84.5373746581586,85.5319703086339,77.272981227652,72.007225864124,73.3658000595948,72.956461982855,62.2338566902721,63.3560846067835,65.1263112159394,53.0759263856992,53.7063186642667,5.36560151417282,2.58250066638969,5.22068994595682,5.39248092094377,2.62421995646417,5.28047473627246,5.36560151417282,2.58250066638969,5.22068994595682,5.39248092094377,2.62421995646417,5.28047473627246,2.57022000966797,5.19711458407451,4.95,2.6183152581236,5.26307894677631,4.95,2.31447895529836,5.12884002480093,2.47486031008131,5.05099000196991,2.31462647843583,5.25,2.07582595631403,5.26307894677631,0.160842,0.472411,0.483345040324197,-0.059164,-0.586386,0.592465658168471,-0.063449,-0.588947,0.594796592016968,-1021.775745
CHEMBL611190-conf_2,-0.36323,-0.18102,-0.272125,0.18221,0.20321,142.119,45.5635,7.268,1978.902,386.269832228583,610.920244039814,0.901397490326787,-83.3826,233.3074,236.9681,2.08693,2.10769,173.707,80.1007231404959,97.7305010330579,98.2179752066116,78.9458262794635,84.6643443156661,85.8835785909624,76.6016090584029,71.8666194874851,73.6945023837902,71.9681792769288,61.8401742452479,63.8260575847931,64.0463037676122,52.5661814909068,54.0694246167215,5.39706041339986,2.47725750323739,5.08432064495665,5.44314633833375,2.49035069985829,5.11880914664283,5.39706041339986,2.47725750323739,5.08432064495665,5.44314633833375,2.49035069985829,5.11880914664283,2.46708062208627,5.05667875190821,4.95,2.49021317697729,5.09828402504215,5,2.25942329991026,5.05667875190821,2.31855180280363,5.05667875190821,2.23282684074532,5.07666228933933,1.82485592851935,5.09828402504215,0.159259,0.465744,0.476285334618861,-0.058434,-0.586044,0.592151717516719,-0.061474,-0.586763,0.593088574737366,-1021.774292
CHEMBL611190-conf_3,-0.36408,-0.1822,-0.27314,0.18188,0.2051,142.255,49.3961,7.3654,1503.806,386.939813015654,611.669581269497,0.900572392310888,-87.9566,1049.8243,232.8013,2.32556,2.09104,87.658,79.6907283057851,37.6065340909091,97.4754648760331,78.7537439770803,36.0789165255893,84.4087771845292,76.5792610250298,34.167349523242,71.7409117997616,72.3129426015654,32.080460305628,61.4808516585911,64.5106604183477,29.7770157035566,51.8488920613246,4.47556299352638,2.76980284094559,5.1040087344006,5.34555472104363,2.70022840253504,5.04948065873269,4.47556299352638,2.76980284094559,5.1040087344006,5.34555472104363,2.70022840253504,5.04948065873269,2.73972931172801,5.09165984724039,4.05,2.68854326289206,5.03438178925675,4.9,2.46823535017299,5.09165984724039,2.36734864330843,4.94292423571311,2.41252512315595,5.03438178925675,1.88467784129371,5.03438178925675,0.161363,0.467288,0.475406289191677,-0.26938,-0.310983,0.311263954622118,-0.060513,-0.587073,0.593196482287277,-1021.775237
CHEMBL611190-conf_4,-0.36335,-0.18139,-0.27237,0.18196,0.20385,141.48,45.5457,7.4313,1616.622,382.339799986328,607.237829635843,0.906999739032124,-87.7809,233.245,227.7486,2.0922,2.09691,175.143,80.078125,97.5852272727273,97.8434917355372,78.9783826019013,84.4755176455268,86.1391457220992,76.5699493444577,71.7995753873659,74.3854290822408,72.1347372344391,61.5437476705181,64.5516912038763,64.2650983799888,51.9117373223264,54.8996027558811,5.35791926627867,2.02922819296234,5.07697919288603,5.32211499433192,2.04187497901655,5.181013874623,5.35791926627867,2.02922819296234,5.07697919288603,5.32211499433192,2.04187497901655,5.181013874623,2.01567107835682,5.0601383380299,4.9,2.02013905429398,5.1662365412358,4.9,1.87972985516321,5.04207298638169,1.93410108248429,5.04207298638169,1.90209426034546,5.08183037890876,1.82048076718547,5.1662365412358,0.159678,0.466546,0.47940839845689,-0.060615,-0.5869,0.593065973633625,-0.061621,-0.58954,0.595348134779139,-1021.774768
CHEMBL611190-conf_5,-0.36382,-0.18075,-0.272285,0.18307,0.20249,141.837,46.7415,7.221,1678.125,386.769854324798,612.505788634706,0.901789081165988,-86.4152,232.7405,229.1914,2.09412,2.09587,173.178,79.2290805785124,97.7563274793389,97.9887654958678,78.2442375309285,84.9166558145592,85.3512827191041,76.1881704410012,72.5743072109654,72.8787991656734,71.8027860603802,62.5337774878867,62.58677320164,63.974536031283,53.0115293898579,52.8920458072125,5.4057910723811,2.52677697498391,5.3855293660218,5.43486288963686,2.53638803953717,5.48007545253481,5.4057910723811,2.52677697498391,5.3855293660218,5.43486288963686,2.53638803953717,5.48007545253481,2.51273523344445,5.36772763839597,4.95,2.53213777171058,5.45366849010829,5,2.27822774945998,5.10538930934753,2.3971131740004,5.04232089419148,2.26676872002377,5.35840461331542,1.93435804673905,5.45366849010829,0.155921,0.464034,0.472510017091701,-0.059994,-0.586417,0.592540938534208,-0.063239,-0.58979,0.596087305660001,-1021.773604
CHEMBL611190-conf_6,-0.36569,-0.18354,-0.274615,0.18215,0.20701,142.049,50.0099,7.1582,1685.674,385.259809567413,610.471284569431,0.903317822771455,-90.8054,233.8495,232.3058,2.0936,2.10338,171.952,78.4316890495868,97.7111311983471,97.8757747933884,77.192668316187,84.7115509832009,86.5770282588879,75.0875297973778,71.9848778307509,75.1042908224076,70.9571841222512,61.5623835259038,65.2214172568021,63.3685835764385,51.716218732543,55.3604680032276,5.39711672993102,2.05510853178783,5.06329311402141,5.31470185785528,2.12345795476802,5.24516614874281,5.39711672993102,2.05510853178783,5.06329311402141,5.31470185785528,2.12345795476802,5.24516614874281,2.04394219586601,5.04777178564958,4.95,2.11467036537293,5.21176553578535,4.9,1.90329627472354,5.04777178564958,1.9662020322561,5.04777178564958,1.92524039596324,5.07986220285551,1.84360211569649,5.21176553578535,0.15626,0.459932,0.466820041430314,-0.060126,-0.58672,0.592888780892336,-0.064176,-0.589622,0.595665121196465,-1021.773952
CHEMBL611190-conf_7,-0.36498,-0.18195,-0.273465,0.18303,0.20429,142.617,52.1125,7.2911,2227.857,388.589841981711,614.341967495921,0.8993584173226,-89.2951,230.6959,1030.3432,2.0978,2.33139,85.879,78.777117768595,97.8854597107438,38.0036157024793,77.5166037244433,86.4728480270869,36.4533142336242,75.5223852800954,74.9106078665078,34.4308700834327,71.4318160641074,65.0985370853522,32.235953224003,63.7666035627832,55.5090466141146,29.7587828191919,5.31914164230436,2.88200359499205,5.27439751273511,4.48138867945751,2.71426011144906,5.44705988847131,5.31914164230436,2.88200359499205,5.27439751273511,4.48138867945751,2.71426011144906,5.44705988847131,2.87521693833194,5.25594901040716,4.9,2.68537382536087,5.43369119475886,4.05,2.4222983123723,5.10881590977792,2.30897844900893,5.25594901040716,2.53284534790193,5.07000986192335,2.48303561299734,5.07000986192335,0.15705,0.464213,0.469777570671483,-0.063997,-0.589832,0.595869387126071,-0.268377,-0.309844,0.310125498772674,-1021.775029
CHEMBL611190-conf_8,-0.36628,-0.18646,-0.27637,0.17982,0.21238,142.809,51.0661,6.9958,1660.865,388.249829144963,613.825531524752,0.899641505328531,-98.0882,234.6774,1027.218,2.10976,2.33356,84.098,78.0023243801653,98.334194214876,37.6872417355372,76.9143117593437,86.6112123974476,36.5119156140122,74.9301623957092,74.4552666865316,34.5789258045292,70.6432864330973,64.4882128214685,32.1317089079389,62.8956923840854,54.886025076035,29.1764943206505,5.43983130954288,2.33803944314937,5.20760384468171,4.48356176107078,2.53117183559636,5.22800649718538,5.43983130954288,2.33803944314937,5.20760384468171,4.48356176107078,2.53117183559636,5.22800649718538,2.33168715854873,5.19230199429887,5,2.52231717839404,5.21176553578535,4.05,2.32053304687143,5.19230199429887,2.14330888016552,5.19230199429887,2.19287429410847,5.14417145903983,2.0106527478358,5.07961612722851,0.156428,0.45443,0.460407323009745,-0.06354,-0.588393,0.594883486895543,-0.266294,-0.307179,0.307394641230129,-1021.772153
CHEMBL611190-conf_9,-0.36336,-0.17967,-0.271515,0.18369,0.20067,141.585,46.6574,7.4134,1582.788,384.149889958617,610.486118037123,0.905942442975903,-81.0228,232.1849,232.4829,2.09182,2.08945,174.848,80.4558367768595,97.7821539256198,97.8144369834711,79.6132308894387,84.6789946607631,86.1440291704649,77.6510354588796,72.0100193682956,74.3267654946365,73.3780982109579,62.0923406634365,64.4585119269475,65.5794177890882,52.9285115759419,54.7126187077152,5.40117646022129,2.45500457073503,5.14588798614099,5.28959524475602,2.42931046511021,5.2108655947893,5.40117646022129,2.45500457073503,5.14588798614099,5.28959524475602,2.42931046511021,5.2108655947893,2.43887238900431,5.11981444976281,4.95,2.41458256229942,5.17421491629407,4.85,2.2538336147044,5.07986220285551,2.30083302491977,5.05099000196991,2.22870557972156,5.10220540550848,1.8031222920257,5.17421491629407,0.161263,0.473061,0.485352594045813,-0.060571,-0.587309,0.593558577384743,-0.061432,-0.589565,0.595246855375146,-1021.773874
CHEMBL611190,-0.36499,-0.18197,-0.27348,0.18302,0.20433,142.621,52.1147,7.2906,1691.101,388.369837064024,613.95386968704,0.899488866751252,-89.3572,1030.4085,233.6116,2.3314,2.09268,87.491,78.6157024793389,38.0358987603306,97.5432592975207,77.4254460216174,36.4630811303555,84.5748144289621,75.4888632300357,34.4364570917759,72.0165375446961,71.3782379798733,32.2604127841968,61.6776928811032,63.7332412637329,29.7805071069456,51.7759605238657,4.48139762086002,2.7129976428782,5.44703866511245,5.32743113971887,2.76035623308302,5.02571098060097,4.48139762086002,2.7129976428782,5.44703866511245,5.32743113971887,2.76035623308302,5.02571098060097,2.68537382536087,5.43369119475886,4.05,2.75300246918576,5.00849278725646,4.9,2.53284534790193,5.07000986192335,2.48303561299734,5.07000986192335,2.38205872606308,5.00849278725646,1.88455971791094,5.00849278725646,0.157049,0.464153,0.469720450560756,-0.268368,-0.309837,0.310117615170438,-0.06034,-0.586582,0.592669312808585,-1021.775032
cisplatin-conf_1,-0.22521,-0.05995,-0.14258,0.16526,0.06151,81.1132,33.3309,11.0958,826.044,279.039157704157,387.197773591837,0.920677521260604,1068.5523,1068.543,-115.8045,3.44455,2.3333,42.428,36.8285123966942,36.8285123966942,78.0539772727273,34.8010808699049,34.8010808699049,73.746581586144,32.5750521454112,32.57877681764,67.6242178188319,29.9501490868431,29.9501490868431,59.192718039508,26.895832040221,26.8966079076407,47.6522251877599,5.65896389166846,1.75,4.77161276459197,6.40662552150613,2.13,4.07389811538832,5.65896389166846,1.75,4.77161276459197,6.40662552150613,2.13,4.07389811538832,1.7,4.75946425556491,5.2,1.88420136455084,4.0577087130547,6,1.73241161390704,4.75946425556491,1.7,4.75946425556491,1.73695576537231,3.30605505096331,1.73624360633776,3.96547601177967,-0.31615,-0.357354,0.358668257922276,-0.316145,-0.357349,0.358663478539424,0.084793,0.325848,0.341251532455167,-1153.042812
cisplatin-conf_2,-0.22515,-0.05984,-0.142495,0.16531,0.06141,81.0951,33.3163,11.0882,650.36,278.809159879886,386.935627041208,0.921021071203573,1068.916,-115.4445,1068.9491,2.33222,3.44426,42.402,36.847882231405,78.1024018595041,36.8285123966942,34.8857273082433,73.8475061857013,34.8694491470243,32.6299910607867,67.6484281883194,32.6178858760429,29.9460724934774,59.2521198285501,29.9606317554976,26.9035907144187,47.6464061821116,26.9082459189374,6.40582275934031,2.13,4.07256856220565,5.65901120029573,1.75,4.77073827001951,6.40582275934031,2.13,4.07256856220565,5.65901120029573,1.75,4.77073827001951,1.88420136455084,4.0577087130547,6,1.72839328385503,4.75631159618459,5.2,1.73695576537231,3.30605505096331,1.73624360633776,3.96137602355545,1.73241161390704,4.75631159618459,1.7,4.75631159618459,-0.315906,-0.357219,0.358552022801434,0.084714,0.325894,0.341285931456308,-0.315883,-0.357204,0.358537975273192,-1153.04279
cisplatin,-0.22514,-0.05981,-0.142475,0.16533,0.06139,81.0956,33.3126,11.0921,983.814,278.959159729397,387.086472206062,0.920765053028204,1068.7996,1069.0707,-115.3629,3.44438,2.33231,42.399,36.8349690082645,36.847882231405,78.1379132231405,34.8906107566089,34.8694491470243,73.8637843469202,32.6514079261025,32.6234728843862,67.6279424910608,29.9588846440552,29.9513138278047,59.2416371598956,26.8938923716715,26.8962199739309,47.6522251877599,5.65948779874708,1.75,4.77119953251273,6.40562569403829,2.13,4.07251470731342,5.65948779874708,1.75,4.77119953251273,6.40562569403829,2.13,4.07251470731342,1.73241161390704,4.75394572960189,5.2,1.88420136455084,4.0577087130547,6,1.73241161390704,4.75394572960189,1.7,4.75394572960189,1.73695576537231,3.30605505096331,1.73624360633776,3.96137602355545,-0.315947,-0.357253,0.358586780786743,-0.316026,-0.357339,0.35866979753807,0.08471,0.32597,0.341390598732595,-1153.042782
