Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.6194741021,0.4845944446,0.6140196769,0.005454425199999946,0.13487965749999997,0.12942523230000003,0.07016704134999996,0.0007356910028353615,4.592791185727915,4.786347229913373,113.57275595236068,3.5927911857279153,3.744203784596954,88.84427356341871,4.552351987548605,4.744203784596954,112.57275595236068
N,-0.0554749793,-0.1117613698,-0.0544686339,0.0010063453999999972,0.0562863905,0.0552800451,0.028646367949999998,5.664355016227854e-05,-0.9855842381649965,-1.0035263032012252,-55.12518793249331,-1.9855842381649966,-2.0217307999265723,-111.05667080109902,-0.9677052199678713,-0.9853218064758779,-54.12518793249331
N,-0.0680183517,-0.0816062344,-0.0632929604,0.0047253912999999925,0.013587882700000012,0.00886249140000002,0.009156637000000002,6.420806269600047e-05,-5.0058094555084685,-7.674856722568988,-14.39422629402143,-6.0058094555084685,-9.208046667328764,-17.269730530041002,-4.658044361834235,-7.141666777809213,-13.39422629402143
N,-0.0654995877,-0.0799916484,-0.0678652036,0.0023656158999999927,0.014492060700000003,0.01212644480000001,0.008428838299999998,3.428264921568503e-05,-4.519687645249787,-5.40138422928375,-27.688175286613607,-5.519687645249787,-6.596463326167941,-33.814301129781995,-4.682922946907059,-5.596463326167941,-28.688175286613607
N,-0.055900576,-0.1139604556,-0.060712417,0.004811840999999997,0.058059879599999996,0.0532480386,0.03143586029999999,0.0002793749091143434,-0.9628090238065186,-1.0498147437866379,-11.617294918930204,-1.9628090238065186,-2.140181283597552,-23.683337749522494,-1.045686236662468,-1.140181283597552,-12.617294918930204
C,0.0147347237,0.0066467389,0.0238147157,0.009079991999999999,0.0080879848,-0.0009920071999999988,0.008583988399999999,7.343883728012159e-05,1.8218040790581111,14.853444309678416,1.622768357064632,0.821804079058111,6.7002930019056395,0.73202034759502,2.9444560405207487,24.006595617451193,2.6227683570646323
H,0.044920357,0.0358647343,0.0551211022,0.0102007452,0.009055622700000002,-0.0011451224999999982,0.00962818395,9.237409979003605e-05,4.960493440169498,39.22755600383371,4.403634844246477,3.9604934401694973,31.319561269645874,3.5158935545218792,6.086947747944489,48.13555073802156,5.403634844246477
H,0.0648896558,0.0432980922,0.0759824256,0.011092769799999999,0.021591563600000002,0.010498793800000003,0.0163421667,0.0002395102446368593,3.0053245333283782,6.180677231702559,5.8497252687962575,2.0053245333283782,4.1241015896511835,3.9032714985214967,3.5190793500476265,7.237252873753933,6.8497252687962575
C,-0.0408410819,-0.0464975488,-0.0361293851,0.004711696799999998,0.005656466900000004,0.0009447701000000058,0.005184081850000001,2.665155699203593e-05,-7.2202458923608255,-43.22859275499907,-8.66801995833009,-8.220245892360825,-49.215728567192926,-9.86853585315592,-6.387270665368868,-38.241456942805215,-7.668019958330089
H,0.0352412232,0.0274266099,0.038689803,0.003448579800000004,0.007814613299999999,0.004366033499999995,0.005631596550000001,2.6949317571191365e-05,4.509656696640383,8.071679523301881,10.219054000142307,3.5096566966403833,6.281813893548923,7.953015876274624,4.9509555386445045,8.861545153054838,11.219054000142307
