Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.5420782495,0.4181086693,0.6252173667,0.0831391172,0.12396958020000004,0.04083046300000004,0.10355434870000002,0.010306721457482603,4.372671494292919,13.276318945979122,6.520134778385644,3.372671494292919,10.240115800303307,5.029024644250132,5.043312768272163,15.312522091654936,7.520134778385644
O,-0.3532164542,-0.3862974651,-0.1423621254,0.21085432879999996,0.03308101090000004,-0.17777331789999992,0.12196766985,0.006975274349344991,-10.677317427442931,-1.986892399672089,-1.6751681419594362,-11.677317427442931,-2.1729777542729893,-1.8320584988625572,-4.303439390964918,-0.8008070450711888,-0.6751681419594362
H,0.1070716006,0.0835496279,0.1723337506,0.06526215,0.02352197269999999,-0.041740177300000014,0.04439206135,0.0015350945106433044,4.551982181324445,2.565192759734635,1.6406385722811765,3.551982181324445,2.0016596311870476,1.2802156824438056,7.326500748808371,4.128725888282222,2.6406385722811767
O,-0.3928209082,-0.4261265881,-0.2596392831,0.13318162509999998,0.033305679899999996,-0.09987594519999998,0.08324365249999999,0.004435704574142404,-11.794411925516645,-3.933088266783182,-2.9495128018226895,-12.794411925516645,-4.266558751926586,-3.1995899417809404,-7.795645784129452,-2.599617781639778,-1.9495128018226897
H,0.1089317701,0.0828045815,0.1585489583,0.04961718819999998,0.026127188600000004,-0.023489999599999978,0.03787218839999999,0.0012963576339030942,4.169287854415381,4.637367899316614,2.1954442412357427,3.1692878544153804,3.525099315029366,1.6688688840291848,6.06835127679983,6.7496364836038625,3.1954442412357427
Cl,-0.2847343732,-0.4696547166,-0.1980274926,0.08670688060000001,0.18492034340000002,0.09821346280000001,0.13581361200000003,0.0160338661356948,-1.5397677073532838,-2.899137909227654,-3.2838728740980674,-2.539767707353284,-4.781978999726298,-5.416579553433963,-1.0708799743663031,-2.01629681872901,-2.2838728740980674
Cl,-0.287209878,-0.4704095932,-0.1755212979,0.11168858009999996,0.1831997152,0.07151113510000004,0.14744414764999997,0.02046131606541238,-1.567741945921977,-4.016295890120752,-2.571524123082661,-2.567741945921977,-6.578130700095679,-4.2117967009592245,-0.9580871766551743,-2.4544610801458235,-1.5715241230826613
N,-0.0703716332,-0.107970453,-0.0602711275,0.010100505700000005,0.03759881979999999,0.027498314099999983,0.023849662749999997,0.0003797670937031729,-1.8716447371042222,-2.5591253683439468,-6.967139595792711,-2.8716447371042224,-3.9264390030369194,-10.689608640090164,-1.603005834241638,-2.1918117336509746,-5.967139595792711
C,0.0427931636,0.035878795,0.0450246645,0.0022315008999999955,0.006914368600000005,0.00468286770000001,0.00457293475,1.542941975383172e-05,6.189019717577679,9.13823886162744,19.17685249421145,5.189019717577679,7.661714423407675,16.078324234599265,6.51175358224321,9.614763299847208,20.17685249421145
H,0.1140568059,0.089576914,0.1267446322,0.01268782630000001,0.02447989190000001,0.011792065599999998,0.01858385910000001,0.00031059661626997733,4.659203821892692,9.672334751936932,8.989467794022362,3.6592038218926923,7.596371750170725,7.0600678068866625,5.1774996686157735,10.748297753703136,9.989467794022362
