Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.5445913916,0.4223857947,0.6207585028,0.07616711119999997,0.12220559690000005,0.046038485700000076,0.09918635405000001,0.009308047288344674,4.456353926617904,11.829046575265597,7.149954659170535,3.4563539266179046,9.174623975523142,5.545514173314219,5.079624162451104,13.483469175008052,8.149954659170534
O,-0.3433448323,-0.3753102751,-0.1313354309,0.21200940140000002,0.031965442799999966,-0.18004395860000005,0.12198742209999999,0.006776974393513933,-10.741125485050386,-1.9070055722491757,-1.619479277959982,-11.741125485050386,-2.084548007155403,-1.7702529822811903,-4.10866921887283,-0.7294631373429487,-0.6194792779599819
H,0.109654224,0.0872472018,0.1742535673,0.0645993433,0.0224070222,-0.0421923211,0.04350318275,0.0014474789194285213,4.893743712183228,2.5989142370268885,1.6974510637169278,3.8937437121832272,2.0678455113482723,1.3505896088575253,7.77673917331148,4.129982962705506,2.6974510637169278
O,-0.3888770287,-0.4217766931,-0.2660139588,0.12286306990000001,0.03289966439999997,-0.08996340550000004,0.07788136714999999,0.004042153766863739,-11.820091049317826,-4.322613473097124,-3.165125444256867,-12.820091049317826,-4.6883139956279205,-3.432900491932116,-8.085613140783291,-2.9569129505663265,-2.165125444256867
H,0.1097961216,0.0837368991,0.1565259315,0.04672980989999999,0.026059222500000007,-0.020670587399999982,0.0363945162,0.0012177425135668028,4.213330677843515,5.311707861770784,2.3495948696337416,3.213330677843515,4.051016910143544,1.7919375079674789,6.006546492321479,7.572398813398023,3.3495948696337416
Cl,-0.2770727972,-0.4629634244,-0.1741279721,0.1029448251,0.1858906272,0.0829458021,0.14441772614999998,0.0191364781048333,-1.4905151560002914,-3.3404077142561026,-2.691468919694148,-2.4905151560002916,-5.5815172399182815,-4.497199581914681,-0.9367227101378031,-2.099298188593923,-1.691468919694148
Cl,-0.2717877292,-0.4516776961,-0.1843575154,0.08743021379999999,0.17988996690000003,0.09245975310000004,0.13366009035,0.015727818266541925,-1.5108554072450604,-2.939524713050525,-3.1086247806933764,-2.5108554072450606,-4.88512764696102,-5.166151110338473,-1.0248348953362334,-1.99392177914003,-2.1086247806933764
N,-0.067318754,-0.1046678991,-0.0604461697,0.006872584299999991,0.03734914510000001,0.030476560800000017,0.0221108647,0.00025668514823268165,-1.8024175337817834,-2.208869775096144,-9.79526056886637,-2.8024175337817834,-3.4343737072852374,-15.229773041852704,-1.6184083876125988,-1.9833658429070504,-8.79526056886637
C,0.0463154882,0.0365290946,0.0508910906,0.004575602400000003,0.009786393599999998,0.005210791199999995,0.007180998000000001,4.477864604350467e-05,4.7326410619740455,8.888379215808923,10.122271157126756,3.7326410619740455,7.010277940133167,7.983450353990541,5.20018841261402,9.76648049148468,11.122271157126756
H,0.1169496798,0.0940777147,0.1285079729,0.011558293099999992,0.022871965100000002,0.01131367200000001,0.017215129099999997,0.00026436087639877066,5.113232697263952,10.337022303634036,10.11824832509223,4.113232697263952,8.315400579051603,8.139412444905041,5.6185803160393935,11.35864402821647,11.11824832509223
N,-0.0680344738,-0.1038208557,-0.0595646396,0.008469834199999998,0.03578638190000001,0.027316547700000013,0.022128108050000005,0.000303104721310881,-1.9011274732973207,-2.4905956106598333,-8.03256264449663,-2.9011274732973207,-3.800658005550239,-12.257719956312725,-1.66444989511499,-2.1805332157694277,-7.032562644496632
H,0.1143384511,0.0895666783,0.1266908329,0.012352381799999992,0.024771772800000008,0.012419391000000016,0.0185620773,0.00030599039548845494,4.615674946768443,9.206445879673154,9.256389006693436,3.615674946768443,7.21184140993708,7.250964206757279,5.11432241539047,10.201050349409229,10.256389006693436
H,0.1105478505,0.0893902572,0.1252523385,0.014704488000000002,0.0211575933,0.006453105299999998,0.01793104065,0.0003111115767887304,5.224972846982554,17.130954069508217,7.5179666575266,4.224972846982554,13.85228553453173,6.079113886862296,5.919970987437404,19.409622604484703,8.5179666575266
H,0.121924243,0.0963252193,0.1372905019,0.015366258899999999,0.0255990237,0.010232764800000002,0.0204826413,0.0003933612257614359,4.762847381558539,11.915083106376096,7.934543065651459,3.7628473815585397,9.413410860376658,6.268618791786725,5.363114762068054,13.416755352375535,8.934543065651459
C,0.0403516571,0.0327909585,0.0425290226,0.0021773655000000003,0.007560698599999999,0.005383333099999998,0.0048690320499999995,1.6462404287538298e-05,5.337027599539546,7.495664182474611,18.532330515937723,4.337027599539546,6.0911999853770915,15.059923793226263,5.625012297144077,7.900128379572131,19.532330515937723
C,-0.0831796801,-0.0960420268,-0.0712685774,0.011911102699999995,0.0128623467,0.0009512440000000039,0.012386724699999997,0.00015320473250670603,-6.466913234425566,-87.44305362241408,-6.983373596468112,-7.466913234425566,-100.96465975081011,-8.063235555848246,-5.5408689457888745,-74.92144749401805,-5.983373596468112
C,-0.0928091144,-0.0989545928,-0.0798205411,0.0129885733,0.006145478400000001,-0.006843094899999999,0.00956702585,7.982099666196673e-05,-15.102016207558387,-13.562447365737981,-7.145443325942503,-16.102016207558385,-14.460502776309593,-7.618588317163364,-12.988499170381916,-11.66439195516637,-6.145443325942503
H,0.0305930459,0.0233265988,0.0352507529,0.0046577070000000005,0.0072664471,0.0026087400999999996,0.00596207705,3.3844981522799706e-05,4.210179401154658,11.72713445084085,6.568263289210764,3.210179401154658,8.941710521488899,5.008172218647501,4.851167622207007,13.512558380192802,7.568263289210764
H,0.0358239635,0.0247813589,0.0470049269,0.0111809634,0.011042604599999999,-0.0001383588000000019,0.011111784,0.00012346695787327164,3.2441588554207588,258.9207444701711,3.2040140208311567,2.2441588554207588,179.10938010447953,2.2163885180055236,4.256688399401714,339.7321088358627,4.204014020831156
H,0.0277481143,0.0134086262,0.0399283654,0.012180251099999997,0.0143394881,0.002159237000000003,0.013259869599999998,0.0001746585657034619,1.9350840215837273,12.850888670396053,2.278123338524606,0.9350840215837273,6.209890901276692,1.1008497353556204,2.784504239032075,18.49188643951541,3.278123338524606
H,0.0435963737,0.0199528752,0.0619132984,0.018316924699999994,0.023643498500000002,0.005326573800000008,0.0209802116,0.00043307618166906283,1.8439053636668872,8.184693451539136,2.380114261211109,0.8439053636668871,3.7459117153319026,1.089313600770549,2.618618323341615,11.62347518774637,3.380114261211109
H,0.0235427351,0.0116696447,0.0383789847,0.0148362496,0.0118730904,-0.002963159200000001,0.013354669999999999,0.00017615213269776383,1.9828649750700122,7.945146889171528,1.5868387048435744,0.9828649750700121,3.938244256332902,0.7865629801752594,3.2324343037091676,12.952049522010153,2.5868387048435744
H,0.0277835694,0.0258896225,0.0263098157,0.0014737537000000002,0.0018939468999999987,0.00042019319999999846,0.0016838502999999994,2.791211251478528e-06,14.66966650437772,66.1209400818483,18.85224742777575,13.66966650437772,61.613616069941386,17.567129772091494,13.891527634697688,62.613616069941386,17.85224742777575
H,0.0376112622,0.0181180342,0.059674346,0.0220630838,0.019493228,-0.0025698557999999996,0.0207781559,0.00043008072289650644,1.9294527412289026,14.635553559075186,1.7047146509954334,0.9294527412289026,7.050214334983311,0.821192285005961,3.0612860014770256,23.22089278316706,2.704714650995433
H,0.0330800196,0.0059029762,0.0571354791,0.024055459499999994,0.027177043400000003,0.0031215839000000092,0.02561625145,0.0006537562668384422,1.2172045028268232,10.597190612111982,1.3751564213520848,0.2172045028268233,1.8910195558094667,0.2453902907155027,2.102343446969658,18.303361668414496,2.375156421352085
C,-0.0920509735,-0.0992116567,-0.0781007877,0.0139501858,0.007160683200000004,-0.006789502599999997,0.010555434500000002,9.989286109493861e-05,-12.855054598700853,-13.557837580031272,-6.598548207150043,-13.855054598700853,-14.612507358050065,-7.111851994114659,-10.906890518491302,-11.50316780201248,-5.598548207150043
C,-0.0878045675,-0.093831055,-0.0823558708,0.005448696700000005,0.006026487499999997,0.0005777907999999915,0.005737592100000001,3.283650255384126e-05,-14.569775097019622,-151.9660186697353,-16.114783467393206,-15.569775097019622,-162.39624272314717,-17.220825486579187,-13.665650314548904,-142.53579461632341,-15.114783467393206
H,0.0426728911,0.021103237,0.0617988529,0.0191259618,0.0215696541,0.002443692299999998,0.020347807949999998,0.0004125403803558134,1.9783762364552708,17.46246493472195,2.2311500747638218,0.9783762364552708,8.635799605375857,1.1033817394741423,2.86508316793082,25.289130264068046,3.2311500747638218
H,0.0364470553,0.0359607742,0.030518976,0.005928079300000003,0.0004862811000000064,-0.005441798199999997,0.003207180200000005,2.8827129228912697e-06,74.95058989543193,6.6976124362715295,6.148206435092726,73.95058989543193,6.6082520663849715,6.066176307729213,62.75994687023534,5.6082520663849715,5.148206435092726
H,0.0232749623,0.0146266959,0.0342211102,0.010946147900000001,0.0086482664,-0.0022978815000000014,0.00979720715,9.466520309300058e-05,2.6912864640709957,10.12887840386895,2.1263153497131166,1.6912864640709957,6.365295991111809,1.3362413913665463,3.9569907559739375,14.89246081662609,3.1263153497131166
H,0.0289008662,0.0263028971,0.0280977087,0.0008031574999999985,0.0025979691,0.0017948116000000014,0.0017005632999999992,2.086578367433246e-06,11.124407214851017,16.10245119877762,35.98405817040874,10.124407214851017,14.654962727007101,32.74936373002811,10.815259003657896,15.654962727007101,34.98405817040874
H,0.0358318149,0.0141234309,0.0590981512,0.023266336299999996,0.021708384000000004,-0.0015579522999999915,0.02248736015,0.0005050745626735392,1.6505979855524942,22.999301647425405,1.5400712186903276,0.6505979855524943,9.065380820709386,0.6070328700612826,2.722365294441078,37.933222474141424,2.540071218690328
H,0.0309041704,0.0210395849,0.0453609346,0.0144567642,0.009864585499999998,-0.004592178700000001,0.012160674849999999,0.00014260998650423906,3.132840239460645,6.729740373561681,2.1376962349569206,2.132840239460645,4.581612840981122,1.4553453738977082,4.598361948406247,9.877867906142239,3.1376962349569206
