Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.6157811512,0.4768352987,0.6137509382,0.0020302129999999474,0.13894585249999997,0.13691563950000002,0.07048803274999996,0.0002820896760415751,4.43180663632979,4.497522368144071,303.3086435758297,3.43180663632979,3.482694164387261,234.86959186056455,4.417195095477933,4.482694164387261,302.3086435758297
N,-0.076858007,-0.0970698667,-0.0651696787,0.011688328300000009,0.020211859699999987,0.008523531399999978,0.015950093999999998,0.00023624285172713953,-3.8026192612053435,-9.017155377640798,-6.575620142360302,-4.8026192612053435,-11.38845651463198,-8.304854570178348,-3.2243286697660998,-7.645854240649617,-5.575620142360302
N,-0.0645851838,-0.0800539877,-0.0663808458,0.0017956620000000034,0.015468803899999994,0.013673141899999991,0.008632232949999999,2.7776743348681843e-05,-4.175189252997126,-4.723507169921205,-35.96733895354464,-5.175189252997126,-5.854834849625897,-44.581879941770694,-4.291272048513074,-4.854834849625897,-36.96733895354464
N,-0.0645851818,-0.0800346773,-0.0600588857,0.0045262961,0.015449495499999993,0.010923199399999993,0.009987895799999997,6.992899122861752e-05,-4.180407172519001,-5.912661614508296,-14.268881304517395,-5.180407172519001,-7.327036188682965,-17.682156785986667,-3.887433456969519,-5.498287040333626,-13.268881304517395
N,-0.0768581801,-0.0970667539,-0.06496404,0.011894140100000006,0.02020857379999999,0.008314433699999985,0.016051356949999998,0.00024036360799838938,-3.8032461301153297,-9.243946475873654,-6.461852597482013,-4.80324613011533,-11.674487692408945,-8.16088873040935,-3.2146771287739284,-7.813405259338363,-5.461852597482013
C,0.0191317653,0.0108025137,0.0217159922,0.0025842269,0.008329251599999999,0.0057450246999999986,0.005456739249999999,2.152467604158804e-05,2.296936894066209,3.3301450035541196,7.403283860252364,1.296936894066209,1.8803250227975528,4.180172298338045,2.607196089502207,3.7799649843106864,8.403283860252364
H,0.0431013461,0.0394582131,0.0398051883,0.0032961577999999978,0.003643133,0.00034697520000000204,0.0034696453999999988,1.2008341254387391e-05,11.830846170041006,124.22025003516029,13.076238674010094,10.830846170041006,113.7205572617287,11.970972111832761,10.926087051996182,114.7205572617287,12.076238674010094
H,0.066985683,0.0486648692,0.076260338,0.009274654999999993,0.018320813800000002,0.00904615880000001,0.013797734399999997,0.0001699192273142389,3.6562613283040952,7.40487586841831,7.222444716272471,2.6562613283040952,5.379616948577108,5.247081341570122,4.1624973012934605,8.430134788259512,8.222444716272472
C,-0.036115548,-0.0409694744,-0.0312747903,0.0048407576999999966,0.0048539264,1.3168700000003308e-05,0.004847342049999998,2.3496681596033263e-05,-7.440481174168607,-2742.529482788045,-7.4607221096813054,-8.440481174168607,-3111.1251983863026,-8.46344248959208,-6.443194173689984,-2374.9337671897865,-6.4607221096813054
H,0.0498333815,0.0420068913,0.0588387014,0.009005319899999996,0.007826490200000001,-0.0011788296999999948,0.008415905049999998,7.048004794521495e-05,6.367270670063574,42.273605339261664,5.533771376628167,5.367270670063574,35.63440189876467,4.6646750772285195,7.5178911487041775,49.912808779758656,6.533771376628167
