Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.27482558,0.0264606145,0.563607769,0.28878218899999997,0.2483649655,-0.04041722349999996,0.26857357725,0.07172337840799947,1.1065392393276177,6.7997144831089225,0.9516708109723486,0.10653923932761765,0.6546865966683739,0.09162827732426394,2.2692724308574026,13.94474236954947,1.9516708109723486
N,-0.0707840067,-0.1122400433,-0.0583169202,0.012467086500000002,0.041456036599999996,0.028988950099999994,0.02696156155,0.000516835994239366,-1.7074475156170623,-2.441758202895386,-5.677670296103263,-2.707447515617062,-3.8718216048810965,-9.002908843216895,-1.406717211360239,-2.0116948009096753,-4.677670296103263
N,-0.0707839047,-0.1122347682,-0.0193151261,0.0514687786,0.041450863500000004,-0.010017915099999997,0.04645982105,0.0021334253162603213,-1.707658145649969,-7.0657321402134885,-1.3752785013631545,-2.7076581456499693,-11.203405806463666,-2.180637878980093,-0.46597644702866076,-1.9280584739633106,-0.37527850136315455
N,-0.068656863,-0.1104023946,-0.0182955885,0.0503612745,0.041745531599999997,-0.0086157429,0.04605340305,0.002102358176056024,-1.6446517835216645,-7.968768775586374,-1.3632868445376616,-2.6446517835216645,-12.814030766865152,-2.19220811419298,-0.43826459500637915,-2.1235067843075957,-0.36328684453766164
N,-0.068657554,-0.1104070024,-0.0548150777,0.013842476299999996,0.0417494484,0.027906972100000003,0.027795962349999998,0.0005779157500150728,-1.6445140386573347,-2.4602294277565133,-4.959918479325842,-2.6445140386573347,-3.9562515777195326,-7.975957480960254,-1.312953339522445,-1.9642072777934942,-3.959918479325842
C,0.0272167169,0.0101534842,0.0508324667,0.023615749800000002,0.0170632327,-0.006552517100000002,0.02033949125,0.0004029610342223785,1.5950504443393074,4.153627756270944,1.1524815909084538,0.5950504443393074,1.5495547810169006,0.4299454510650345,2.9790642601973074,7.757700731524987,2.1524815909084536
H,0.0674401385,0.0394271082,0.1057366896,0.038296551100000006,0.0280130303,-0.010283520800000008,0.033154790700000006,0.0010728024463497984,2.4074560223497135,6.5580786786564325,1.760997702479793,1.4074560223497135,3.8340086986550332,1.0295211205063317,3.7745537868496863,10.282148658657832,2.7609977024797927
H,0.067007933,0.0480847272,0.0878719521,0.020864019099999992,0.018923205800000002,-0.0019408132999999897,0.019893612449999997,0.00039481412724443065,3.5410455135461243,34.52569755164001,3.2116502903316473,2.5410455135461243,24.77555527881031,2.3046723150287005,4.643608119507953,45.2758398244697,4.211650290331647
C,-0.035478208,-0.0461809678,-0.0238623375,0.011615870499999997,0.010702759800000003,-0.0009131106999999937,0.01115931515,0.0001243218718294059,-3.3148653864024853,-38.85422435636801,-3.054287493993671,-4.314865386402485,-50.57543165357751,-3.9756786028218905,-2.229549942810077,-26.133017059158508,-2.054287493993671
H,0.0471060974,0.0327244398,0.0622707892,0.015164691800000005,0.0143816576,-0.0007830342000000046,0.014773174700000002,0.00021809340507712775,3.2754289324757666,60.158416324599514,3.106301006394339,2.2754289324757666,41.79183974339794,2.157936358456028,4.329875660508007,79.5249929058011,4.1063010063943395
H,0.0772823921,0.0493530354,0.1049608994,0.027678507300000002,0.027929356699999998,0.00025084939999999584,0.027803932,0.0007730429033052539,2.7670666721801007,308.08282618974283,2.7921445062899037,1.767066672180101,196.74368525498096,1.78308153922737,3.7580851047672006,418.42196712450476,3.7921445062899037
C,0.0267461136,0.0099148812,0.0403462735,0.013600159900000002,0.0168312324,0.0032310724999999978,0.015215696150000001,0.0002289074519540608,1.589076364960655,8.277781943921102,1.9666028779558684,0.589076364960655,3.0686037530881793,0.7290268109274214,2.3971075047362547,12.486960134754026,2.9666028779558684
H,0.0591851608,0.0411184743,0.0744656249,0.015280464100000002,0.018066686499999998,0.0027862223999999963,0.0166735753,0.00027606735446920465,3.275927813326478,21.242080603472314,3.873256755336377,2.275927813326478,14.757786133655394,2.690917895615487,4.121709030596175,26.72637507328923,4.873256755336377
H,0.0748933887,0.0440444932,0.1018293412,0.026935952500000013,0.030848895499999994,0.003912942999999981,0.028892424000000003,0.000830944383865464,2.427749437577109,19.139913027100153,2.780424739017488,1.427749437577109,11.256103960625087,1.6351563287023163,3.300907197795786,26.02372209357522,3.780424739017488
C,0.0267457909,0.0099156443,0.0475057246,0.0207599337,0.0168301466,-0.003929787100000002,0.018795040149999998,0.0003493927275772804,1.589159710587429,6.805913455209822,1.288337009477058,0.5891597105874289,2.5232013968390286,0.4776337171057536,2.8226566131040123,12.088625513580615,2.288337009477058
H,0.0748928039,0.0440449047,0.1101877911,0.0352949872,0.0308478992,-0.004447088000000002,0.0330714432,0.0010887762074108904,2.4278088894948153,16.840863931633457,2.1219104989504003,1.427808889494815,9.90421253188603,1.2479082213691806,3.571970667616808,24.777515331380886,3.1219104989504003
H,0.0591849651,0.041118986,0.0799198126,0.0207348475,0.018065979099999997,-0.002668868400000003,0.0194004133,0.0003745953215766872,3.276045254585732,22.17605225495567,2.8543718539526273,2.276045254585732,15.406899043804465,1.983086010157538,4.423774219909289,29.945205466106874,3.8543718539526273
C,-0.0354780614,-0.0461809771,-0.0230177178,0.012460343599999996,0.010702915700000003,-0.0017574278999999936,0.01158162965,0.0001333620071438345,-3.3148034044592154,-20.187491845326985,-2.8472779354174476,-4.314803404459216,-26.27759414767466,-3.706236246968343,-2.1506025502938413,-13.097389542979307,-1.8472779354174476
H,0.0471059308,0.0327244111,0.0569934473,0.009887516499999999,0.014381519699999998,0.004494003199999999,0.012134518099999998,0.000142197513328825,3.275448755252201,10.48195310586339,4.764182269632623,2.275448755252201,7.281795237706998,3.309669430134454,3.9629641713038164,12.68211097401978,5.764182269632623
H,0.077282702,0.0493529892,0.1032025596,0.0259198576,0.027929712799999992,0.0020098551999999936,0.026924785199999995,0.0007239341785848971,2.76704248817052,38.451875538098584,2.981602105715272,1.7670424881705198,24.55549494311837,1.9040609698411308,3.6950813042374007,51.3482561330788,3.981602105715272
C,0.0272184997,0.0101528649,0.0419330896,0.014714589900000002,0.0170656348,0.002351044899999998,0.01589011235,0.00025111381746516855,1.5949303977839722,11.57719263464514,1.849762710682137,0.5949303977839722,4.318447895231608,0.6899862632257252,2.457165531281614,17.835937374058673,2.849762710682137
H,0.0670104077,0.0480845991,0.082964128,0.0159537203,0.018925808599999996,0.002972088299999995,0.01743976445,0.00030193705685573454,3.5406892839442543,22.546573633091626,4.2002997695778825,2.5406892839442543,16.178724938959615,3.0140053978506818,4.383650376766465,27.914422327223637,5.2002997695778825
H,0.0674399436,0.0394266266,0.0918993171,0.024459373500000006,0.028013316999999996,0.0035539434999999897,0.02623634525,0.0006851881834768996,2.4074244260328044,18.97608771777047,2.757222853643409,1.4074244260328046,11.09376854190285,1.6119229954929135,3.280558210939462,25.858406893638087,3.757222853643409
H,0.1461173676,0.1191261631,0.1684754315,0.022358063900000003,0.02699120449999999,0.004633140599999988,0.024674634199999997,0.0006034710749489675,5.413517859123332,31.537434370111793,6.535331871915796,4.413517859123332,25.711752218354935,5.328107283028205,6.241864141335377,36.36311652186865,7.535331871915796
H,0.1506032156,0.1217854456,0.168668116,0.0180649004,0.028817770000000006,0.010752869600000006,0.023441335200000003,0.0005205901448001081,5.226053771683235,14.005862732679276,8.336786379403454,4.226053771683235,11.32585534190798,6.741550902766118,5.852920472333563,15.685870123450572,9.336786379403454
H,0.1488268707,0.1234800495,0.1809025261,0.032075655399999986,0.025346821200000008,-0.006728834199999978,0.028711238299999997,0.0008130159022966144,5.8716187535184865,22.117779436443907,4.639869983763451,4.8716187535184865,18.350883054898336,3.8496500838452095,7.137089289129476,26.88467581798948,5.639869983763451
H,0.1450808294,0.1163800911,0.1747783628,0.029697533400000004,0.0287007383,-0.000996795100000003,0.029199135850000002,0.0008523411342689093,5.054951126466318,145.54729392229112,4.885282135923113,4.054951126466318,116.7542768819787,3.9188470480851447,6.089681769614965,175.34031096260352,5.885282135923113
H,0.1488247528,0.1234785292,0.1712860049,0.022461252100000023,0.02534622359999998,0.002884971499999958,0.023903737850000002,0.0005693079180625698,5.871673632674814,51.58621248078261,6.625844015169566,4.871673632674814,42.80060624515764,5.497401865677821,6.7578510946301344,59.371818716407596,7.625844015169566
H,0.1450813988,0.1163787487,0.1664346484,0.021353249599999985,0.028702650100000004,0.0073494005000000195,0.025027949849999995,0.0006128948517667647,5.054634268770882,19.740575955821107,6.794347535749318,4.054634268770882,15.835134947401452,5.45016570686272,5.798581239716258,22.646016964240765,7.794347535749318
H,0.1506024873,0.1217870528,0.1842324287,0.0336299414,0.0288154345,-0.004814506900000001,0.03122268795,0.0009690613736505384,5.226452070330573,31.280978598244396,4.478226277848941,4.226452070330573,25.295851751713133,3.621387600752703,6.393532906817699,38.266105444775654,5.478226277848941
