Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.2131280445,-0.0235475741,0.4617457933,0.24861774879999998,0.2366756186,-0.011942130199999984,0.24264668369999998,0.0588417594921794,0.9005069713589839,17.846735961729866,0.8572519280248587,-0.09949302864101608,-1.971806847324444,-0.09471397039695181,1.9509647678597004,38.66527877078418,1.8572519280248587
N,-0.0754146792,-0.099834821,-0.0629228263,0.012491852900000003,0.024420141800000003,0.0119282889,0.018455997350000003,0.0003050528191627413,-3.088216269079977,-6.322338420223876,-6.037109130543795,-4.088216269079977,-8.36958442547447,-7.991994606340584,-2.5766773516442067,-5.275092414973282,-5.037109130543795
Cl,-0.2852332134,-0.5171028887,0.0445045194,0.3297377328,0.23186967529999997,-0.09786805750000005,0.28080370405,0.07645618103849415,-1.2301445328327505,-2.9144668923259243,-0.8650305531548192,-2.2301445328327505,-5.283673773743795,-1.568224795836893,0.19193764489650797,0.4547399890919463,0.1349694468451807
C,-0.0384704091,-0.0449445937,-0.0317297398,0.006740669300000002,0.006474184600000002,-0.0002664846999999998,0.006607426950000002,4.3640337375752805e-05,-5.942124217465159,-144.3625435156316,-5.707209089756115,-6.942124217465159,-168.6573139095792,-6.667675226256833,-4.90096309580051,-119.06777312168398,-4.707209089756115
C,0.0082288751,-0.0030038014,0.0201000379,0.0118711628,0.0112326765,-0.0006384862999999994,0.011551919649999999,0.0001333449314112342,0.7325836455808195,12.888099713337635,0.6931818928470933,-0.2674163544191805,-4.704566722888186,-0.25303346020998047,1.789425512254359,31.480766149563458,1.6931818928470932
N,-0.0494402348,-0.0909322365,-0.0294320757,0.020008159100000002,0.041492001699999996,0.021483842599999994,0.030750080399999997,0.0008301785713910705,-1.1915606086558126,-2.3012752290411966,-2.471003681693035,-2.1915606086558124,-4.2325871676233575,-4.544757768344614,-0.7093433552038055,-1.369963290459036,-1.4710036816930347
H,0.0639236563,0.0387854862,0.085640015,0.021716358699999994,0.02513817010000001,0.003421811400000016,0.0234272644,0.000545909518953215,2.5428921852987214,18.681233074388526,2.9435715804417995,1.5428921852987216,11.334781981262852,1.7860032031981499,3.406772038669591,25.0276841675142,3.9435715804417995
N,-0.0718648501,-0.0985066773,-0.0615885511,0.010276299000000003,0.026641827199999996,0.016365528199999993,0.0184590631,0.00027377938221353283,-2.6974444943475953,-4.391233159220613,-6.9932618834854825,-3.6974444943475953,-6.019156613594668,-9.585812684119055,-2.3117239909130562,-3.7633097048465585,-5.9932618834854825
C,0.016410445,0.0047607708,0.0267796564,0.010369211400000002,0.011649674199999998,0.0012804627999999964,0.0110094428,0.00012079793452092588,1.4086612825618765,12.816026361718627,1.5826126372541693,0.4086612825618764,3.718007895270377,0.45912563804032386,2.298747238785442,20.914044828166876,2.582612637254169
H,0.0477799177,0.0317570435,0.0599635611,0.0121836434,0.016022874200000002,0.0038392308000000028,0.0141032588,0.0001952169854958603,2.98198170338253,12.445179826125578,3.9216444647419673,1.98198170338253,8.271720340439021,2.606530941311037,3.742372332923889,15.618639311812137,4.921644464741967
H,0.0498585799,0.0200151919,0.073908271,0.0240496911,0.029843388,0.005793696899999999,0.02694653955,0.0007177242627774467,1.6706742511942678,8.605659005047366,2.073148453037719,0.6706742511942679,3.4546494656978006,0.8322432008284714,2.47653754995914,12.75666854439693,3.073148453037719
H,0.0574036843,0.0294244555,0.0802861631,0.0228824788,0.027979228800000002,0.005096750000000001,0.0254308538,0.0006402341098563495,2.0516535573703876,11.262801648109088,2.5086305029156195,1.0516535573703873,5.773180065728159,1.2858945814908826,2.869491638740236,15.752423230490017,3.5086305029156195
H,0.0546424773,0.0395547058,0.0634917512,0.008849273900000003,0.0150877715,0.006238497599999997,0.011968522700000001,0.0001335158225441139,3.621640034779159,8.758916137116096,6.174797832848182,2.621640034779159,6.340421738721198,4.469825010162697,4.208159647698801,10.177410535510992,7.174797832848182
H,0.0410556021,0.0281860653,0.0546986793,0.0136430772,0.012869536799999998,-0.0007735404000000015,0.013256306999999998,0.00017558008409064091,3.190138288426978,53.07492937666852,3.009262609757863,2.190138288426978,36.437741713296354,2.065960991556949,4.250244600877943,70.71211704004068,4.009262609757863
C,0.0097935482,-0.0027023016,0.0198296044,0.010036056199999999,0.0124958498,0.002459793600000001,0.011265952999999999,0.00012540905085955874,0.7837440715716669,3.9814512079387456,0.9758363250297464,-0.21625592842833305,-1.0985887596422719,-0.2692593132350136,1.5868952266055565,8.061491175519762,1.9758363250297464
