Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.2187784911,-0.015424431,0.4599318867,0.24115339560000001,0.2342029221,-0.006950473500000026,0.23767815885,0.056478829923857284,0.9341407405949698,31.476775085898705,0.907217128565284,-0.06585925940503029,-2.2191913975357136,-0.06396107739483972,1.963817883124525,66.17274156933313,1.907217128565284
N,-0.0730491055,-0.0976157543,-0.0628063407,0.010242764799999998,0.024566648799999993,0.014323883999999995,0.017404706799999996,0.00025163040558260215,-2.9735071354136027,-5.099811301180604,-7.13177612942943,-3.9735071354136027,-6.814894221427654,-9.530215347715494,-2.5565693233665643,-4.384728380933553,-6.13177612942943
Cl,-0.2951612607,-0.524127769,0.0323986777,0.3275599384,0.22896650830000004,-0.09859343009999993,0.27826322335,0.0750002553544111,-1.2891023359332066,-2.993721390975322,-0.9010908420051162,-2.2891023359332068,-5.3160516726966005,-1.600097287721312,0.14149963652129466,0.3286088907459568,0.0989091579948838
C,-0.0399948906,-0.0485194229,-0.0332442266,0.0067506639999999965,0.008524532299999998,0.001773868300000002,0.0076375981499999974,5.754625331444716e-05,-4.691740167375518,-22.54670800532371,-5.924586174041549,-5.691740167375518,-27.352325367108676,-7.187355629016645,-3.899829976595902,-18.741090643538737,-4.924586174041549
C,0.0117706252,0.000380335,0.0229318582,0.011161232999999998,0.0113902902,0.0002290572000000022,0.0112757616,0.00012712968285981657,1.0333911597792302,51.3872744449853,1.0545990035330328,0.033391159779230205,1.660436781729613,0.03407643223647424,2.0132812946240826,100.11411210824099,2.054599003533033
N,-0.0494746723,-0.0960150727,-0.0297842281,0.0196904442,0.046540400399999994,0.026849956199999993,0.033115422299999996,0.0009164011571218576,-1.063047843911545,-1.8426351213191183,-2.5126234734714616,-2.063047843911545,-3.575986194718635,-4.876226850179439,-0.6399650162872257,-1.1092840479196018,-1.5126234734714619
H,0.0419441031,0.030727703,0.0524209632,0.010476860099999999,0.0112164001,0.0007395400000000003,0.010846630099999999,0.00011751265467332599,3.7395334265937965,56.71647659355813,4.003499397686908,2.7395334265937965,41.54975119668981,2.9329114550264923,4.6735996159766096,70.88320199042644,5.003499397686908
N,-0.0723274594,-0.0947850643,-0.0612442789,0.011083180500000005,0.022457604899999997,0.011374424399999992,0.0167703927,0.00024890168870438453,-3.2206221332177773,-6.3587797374608295,-6.525875798918909,-4.220622133217778,-8.333174582443052,-8.552153806391582,-2.7271064377840224,-5.384384892478606,-5.525875798918909
C,0.0172344146,0.0054645793,0.0285231724,0.0112887578,0.0117698353,0.00048107749999999963,0.01152929655,0.00013286682004759034,1.4642868112181655,35.82461162702478,1.5266883128629087,0.4642868112181655,11.35904152657317,0.4840726851274992,2.423413044700804,59.29018172747639,2.5266883128629085
H,0.0500401032,0.0209877553,0.0738028649,0.023762761700000003,0.029052347899999997,0.005289586199999995,0.0264075548,0.0006903640199731955,1.7224116746860243,9.46011678569489,2.105820183350153,0.7224116746860244,3.9677499347680585,0.8832203750122192,2.5403408066719457,13.952483636621722,3.105820183350153
H,0.0503002868,0.0343715305,0.063666528,0.013366241199999997,0.015928756300000006,0.0025625151000000096,0.014647498750000001,0.0002129075987218196,3.157828888373412,19.62926454560202,3.7632335110038277,2.157828888373412,13.413201155380458,2.5715180495171674,3.996955368072269,24.845327935823583,4.763233511003828
H,0.0537412648,0.037034969,0.065912922,0.012171657199999998,0.0167062958,0.004534638600000002,0.014438976499999999,0.00020334330555939973,3.2168270838350654,11.85127846792465,4.415279194685175,2.2168270838350654,8.167126923852319,3.0427219885883745,3.945394166910417,14.535430011996981,5.415279194685175
H,0.0569868962,0.0291449998,0.0796418481,0.022654951899999998,0.027841896399999996,0.005186944499999999,0.025248424149999997,0.000630756823746783,2.046803686835068,10.98660226651741,2.5154278169092033,1.0468036868350679,5.618914912237833,1.2864737002597655,2.8605037155443194,15.354289620796987,3.5154278169092033
H,0.0619452758,0.0346146713,0.0843031316,0.0223578558,0.0273306045,0.0049727487000000015,0.02484423015,0.0006110537143378311,2.266516856588371,12.456948769601002,2.77062685948623,1.2665168565883713,6.960872826732625,1.5482106875382924,3.084568861255886,16.95302471246938,3.77062685948623
C,0.0063577453,-0.0027894902,0.0177139135,0.0113561682,0.0091472355,-0.002208932700000001,0.01025170185,0.00010387754490301111,0.6950455468212227,2.8781978282996117,0.5598495186078698,-0.30495445317877734,-1.2628226292272275,-0.24563656956049662,1.9365319172114899,8.019218285826451,1.5598495186078698
H,0.0460819763,0.0178031547,0.0729843188,0.026902342500000002,0.0282788216,0.0013764790999999978,0.02759058205,0.000760766544179598,1.6295578702614681,33.47815182954836,1.7129354553418534,0.629557870261468,12.933835827946845,0.6617696841827063,2.580882606508611,53.02246783114987,2.7129354553418534
H,0.0430012926,0.0310978047,0.0528235441,0.009822251500000004,0.011903487899999999,0.002081236399999995,0.010862869700000001,0.00011691905188100688,3.6124951746286063,20.661416742471012,4.3779466041976205,2.6124951746286063,14.941985783066292,3.166056652082263,4.437652606006346,25.380847701875734,5.3779466041976205
C,-0.0397046833,-0.0447289706,-0.0346073512,0.005097332100000004,0.005024287299999999,-7.304480000000502e-05,0.005060809700000002,2.561046093391235e-05,-7.902550337835977,-543.5661854094648,-7.789306743423676,-8.902550337835976,-612.3498264078611,-8.774976737340689,-6.8880119972438685,-473.78254441106856,-6.789306743423676
H,0.0560286625,0.0321834842,0.0771770878,0.021148425300000002,0.0238451783,0.002696752999999996,0.0224968018,0.000504287972042731,2.3496851982021036,20.776341956419472,2.649306589271211,1.3496851982021036,11.934160896455866,1.5217910432319515,3.2365909295800908,28.618523016383076,3.649306589271211
H,0.0334001831,0.0228990096,0.0479072583,0.014507075199999997,0.010501173500000002,-0.004005901699999995,0.01250412435,0.0001523413136527472,3.1806143475298256,8.337744058971802,2.302337489778781,2.1806143475298256,5.716318400923325,1.5784718342123163,4.562086161132371,11.95916971702028,3.302337489778781
C,-0.0444704037,-0.0519686113,-0.0373661467,0.007104257000000003,0.007498207600000001,0.00039395059999999815,0.007301232300000002,5.326919382975323e-05,-5.930804543208432,-112.88319829948276,-6.2596839753967215,-6.930804543208432,-131.91656847330665,-7.315136727176394,-4.983343846067958,-94.84982812565883,-5.2596839753967215
H,0.0316111442,0.0195193155,0.0335351789,0.0019240346999999935,0.012091828700000005,0.010167794000000011,0.007007931699999999,2.3265098005255822e-05,2.614256700477405,3.108948135652627,16.42961231416466,1.614256700477405,1.9197198035286687,10.144991407899278,2.773375287726329,3.2981764677765857,17.42961231416466
H,0.053320998,0.0301495726,0.0777764059,0.024455407899999997,0.0231714254,-0.0012839824999999958,0.02381341665,0.0005666666597814206,2.3011531262983933,41.527823003818334,2.1803356630988766,1.3011531262983933,23.481295578405547,1.2328386720550266,3.356565448925727,60.574350429231124,3.1803356630988766
C,0.0155755583,0.0049619731,0.0262378023,0.010662244000000001,0.010613585200000001,-4.865880000000031e-05,0.010637914600000001,0.00011316463511718882,1.4675114964922502,320.0974602743985,1.4608142807461542,0.4675114964922503,101.97483497332381,0.46537793545148654,2.4720960736245843,539.2200855754733,2.4608142807461544
H,0.0578037953,0.04484755,0.0718615107,0.014057715400000004,0.012956245300000002,-0.0011014701000000016,0.013506980350000003,0.0001821352090799877,4.46146194067505,52.478769328372984,4.1118911327512,3.4614619406750498,40.71608480339134,3.1902445542467013,5.546476547491733,65.24145385335463,5.1118911327512
H,0.0485393833,0.0251516811,0.0715813598,0.02304197649999999,0.023387702200000002,0.00034572570000001093,0.023214839349999995,0.0005388988844813982,2.075423352192333,140.39853936227036,2.1065633540594932,1.0754233521923329,72.75039460473782,1.091559185471785,3.0606409807971637,207.04668411980288,3.1065633540594932
H,0.129682321,0.1096388739,0.1479896872,0.018307366200000008,0.020043447099999986,0.0017360808999999783,0.019175406649999997,0.00036694272597002795,6.470060781111852,74.69831676622996,7.083614299472522,5.470060781111852,63.1530903312175,5.988784661990317,7.383444896561734,85.24354320124243,8.083614299472522
H,0.1372228975,0.1125873782,0.1542312815,0.017008384000000015,0.02463551929999999,0.007627135299999976,0.020821951650000003,0.00041901037229381144,5.570124007899442,17.991407271875776,8.06795622088494,4.570124007899442,14.761424017219198,6.619522360266554,6.26052487961965,20.221390526532353,9.06795622088494
H,0.1372350176,0.115873475,0.1545393576,0.01730434,0.021361542600000005,0.004057202600000004,0.019332941300000003,0.0003696473960748841,6.424396410397813,33.82503442150014,7.930670432966528,5.424396410397813,28.559943001120992,6.696208870144715,7.234466185040399,38.09012584187929,8.930670432966528
H,0.1347003995,0.1173239682,0.1506632492,0.015962849699999976,0.01737643130000001,0.0014135816000000329,0.016669640499999992,0.00027737736116427534,7.751902400120556,95.2901477353673,8.438367962582534,6.751902400120556,82.99766225027071,7.349813498525904,8.670551887141517,106.58263322046388,9.438367962582534
H,0.1208796403,0.0992108022,0.1384967636,0.017617123299999995,0.02166883809999999,0.004051714799999995,0.019642980699999993,0.00038174259257543747,5.578501244143776,29.83419274722894,6.861485739842669,4.578501244143776,24.486126762920264,5.631498429712416,6.391517762089886,34.182258731537615,7.861485739842669
