Compound_Name,HOMO_Boltz,HOMO_Boltz_stdev,HOMO_min,HOMO_max,HOMO_range,HOMO_low_E,LUMO_Boltz,LUMO_Boltz_stdev,LUMO_min,LUMO_max,LUMO_range,LUMO_low_E,μ_Boltz,μ_Boltz_stdev,μ_min,μ_max,μ_range,μ_low_E,η_Boltz,η_Boltz_stdev,η_min,η_max,η_range,η_low_E,ω_Boltz,ω_Boltz_stdev,ω_min,ω_max,ω_range,ω_low_E,polar_iso(au)_Boltz,polar_iso(au)_Boltz_stdev,polar_iso(au)_min,polar_iso(au)_max,polar_iso(au)_range,polar_iso(au)_low_E,polar_aniso(au)_Boltz,polar_aniso(au)_Boltz_stdev,polar_aniso(au)_min,polar_aniso(au)_max,polar_aniso(au)_range,polar_aniso(au)_low_E,dipole(Debye)_Boltz,dipole(Debye)_Boltz_stdev,dipole(Debye)_min,dipole(Debye)_max,dipole(Debye)_range,dipole(Debye)_low_E,SASA_surface_area(Å²)_Boltz,SASA_surface_area(Å²)_Boltz_stdev,SASA_surface_area(Å²)_min,SASA_surface_area(Å²)_max,SASA_surface_area(Å²)_range,SASA_surface_area(Å²)_low_E,SASA_volume(Å³)_Boltz,SASA_volume(Å³)_Boltz_stdev,SASA_volume(Å³)_min,SASA_volume(Å³)_max,SASA_volume(Å³)_range,SASA_volume(Å³)_low_E,SASA_sphericity_Boltz,SASA_sphericity_Boltz_stdev,SASA_sphericity_min,SASA_sphericity_max,SASA_sphericity_range,SASA_sphericity_low_E,distance_Au_S(Å)_Boltz,distance_Au_S(Å)_Boltz_stdev,distance_Au_S(Å)_min,distance_Au_S(Å)_max,distance_Au_S(Å)_range,distance_Au_S(Å)_low_E,%Vbur_Au_2.0Å_Boltz,%Vbur_Au_2.0Å_Boltz_stdev,%Vbur_Au_2.0Å_min,%Vbur_Au_2.0Å_max,%Vbur_Au_2.0Å_range,%Vbur_Au_2.0Å_low_E,%Vbur_S_2.0Å_Boltz,%Vbur_S_2.0Å_Boltz_stdev,%Vbur_S_2.0Å_min,%Vbur_S_2.0Å_max,%Vbur_S_2.0Å_range,%Vbur_S_2.0Å_low_E,%Vbur_Au_2.5Å_Boltz,%Vbur_Au_2.5Å_Boltz_stdev,%Vbur_Au_2.5Å_min,%Vbur_Au_2.5Å_max,%Vbur_Au_2.5Å_range,%Vbur_Au_2.5Å_low_E,%Vbur_S_2.5Å_Boltz,%Vbur_S_2.5Å_Boltz_stdev,%Vbur_S_2.5Å_min,%Vbur_S_2.5Å_max,%Vbur_S_2.5Å_range,%Vbur_S_2.5Å_low_E,%Vbur_Au_3.0Å_Boltz,%Vbur_Au_3.0Å_Boltz_stdev,%Vbur_Au_3.0Å_min,%Vbur_Au_3.0Å_max,%Vbur_Au_3.0Å_range,%Vbur_Au_3.0Å_low_E,%Vbur_S_3.0Å_Boltz,%Vbur_S_3.0Å_Boltz_stdev,%Vbur_S_3.0Å_min,%Vbur_S_3.0Å_max,%Vbur_S_3.0Å_range,%Vbur_S_3.0Å_low_E,%Vbur_Au_3.5Å_Boltz,%Vbur_Au_3.5Å_Boltz_stdev,%Vbur_Au_3.5Å_min,%Vbur_Au_3.5Å_max,%Vbur_Au_3.5Å_range,%Vbur_Au_3.5Å_low_E,%Vbur_S_3.5Å_Boltz,%Vbur_S_3.5Å_Boltz_stdev,%Vbur_S_3.5Å_min,%Vbur_S_3.5Å_max,%Vbur_S_3.5Å_range,%Vbur_S_3.5Å_low_E,%Vbur_Au_4.0Å_Boltz,%Vbur_Au_4.0Å_Boltz_stdev,%Vbur_Au_4.0Å_min,%Vbur_Au_4.0Å_max,%Vbur_Au_4.0Å_range,%Vbur_Au_4.0Å_low_E,%Vbur_S_4.0Å_Boltz,%Vbur_S_4.0Å_Boltz_stdev,%Vbur_S_4.0Å_min,%Vbur_S_4.0Å_max,%Vbur_S_4.0Å_range,%Vbur_S_4.0Å_low_E
auranofin,-0.1963,-0.19578167297471827,0.0005931978276274094,-0.19694,-0.19412,0.002820000000000017,-0.01226,-0.01058647850217744,0.0006871312304822586,-0.01282,-0.00779,0.00503,-0.10428,-0.10318407573844786,0.0006027177671747581,-0.10455,-0.101265,0.00328500000000001,0.18404,0.18519519447254082,0.00044157802678502925,0.18346,0.18695,0.003489999999999993,0.02954,0.028743129846448574,0.00035952100829574643,0.02743,0.02979,0.002360000000000001,318.586,318.2401286505256,0.22985774006405008,316.084,318.719,2.634999999999991,81.7124,73.22552449211402,4.795539978919597,61.4853,81.7124,20.2271,6.9724,6.997412529624659,0.24310765540380463,4.668,7.0752,2.4071999999999996,676.0077632443086,676.5264588407899,2.6840532576514313,655.3680456495658,678.5077430049566,23.13969735539081,1260.1900708826413,1256.184587114448,2.642098671854629,1229.7758672603245,1260.973806152975,31.197938892650427,0.8346219651616982,0.8322132267533293,0.0030112034922045164,0.8307839868135628,0.8469988872101081,0.016214900396545273,2.65957,2.6568957103517112,0.0015598506785984123,2.6531,2.65963,0.006530000000000147,59.400826446280995,59.2921903391436,0.07613052018245002,59.1457902892562,59.45247933884298,0.30668904958677956,93.59181301652893,93.81690415888839,0.09672722852789323,93.59181301652893,94.14385330578511,0.5520402892561833,55.072275035811955,54.75482692584753,0.2369294079565857,54.6181143378044,55.18784998046621,0.5697356426618114,92.27601250162782,92.56375454163775,0.05429257479020119,92.27601250162782,92.67808308373486,0.4020705821070436,52.467595351609056,52.00268280943132,0.3455323728255883,51.79901668653159,52.63706793802145,0.8380512514898655,90.82426996424314,91.01123192170488,0.04012287324312266,90.82426996424314,91.10175804529202,0.27748808104887246,49.91206205739843,49.41188764399026,0.3616521202613835,49.205646664181884,50.07570816250466,0.8700614983227766,86.96596626910174,87.169463791877,0.048870211433527606,86.96596626910174,87.3054882594111,0.3395219903093647,46.91825460865247,46.567748705833765,0.34930651090701076,46.31385388864751,47.24567065979765,0.9318167711501459,80.55792626156043,80.99331087681966,0.21129796518074484,80.55792626156043,81.41525976041214,0.8573334988517161
aurothioglucose,-0.2251,-0.23753780741010236,0.0038299754540065075,-0.23895,-0.22008,0.018869999999999998,-0.12025,-0.12029633083495747,0.0033307520437100046,-0.12211,-0.09977,0.02234,-0.172675,-0.17891706912252994,0.003115678506706664,-0.179985,-0.16095500000000001,0.01902999999999999,0.10485,0.1172414765751449,0.0035630649841570283,0.10423,0.12435999999999998,0.02012999999999998,0.14219,0.13665032935886443,0.005477974790503065,0.10585,0.14506,0.039209999999999995,136.12,131.13249162069948,0.838972113311949,130.193,136.263,6.069999999999993,59.8038,40.01027279877098,3.3444652664369783,39.0048,59.8038,20.799,2.7683,2.12923232865019,0.4302581583132862,0.8319,3.7505,2.9186,378.60388483079976,361.00485790777583,2.7430775131069116,359.6742566174973,380.96365060420084,21.289393986703544,594.1811070030321,571.733024935442,3.793407039994055,568.465795546057,597.4311220942477,28.96532654819066,0.9027724231308297,0.9227210763999476,0.002909179493486976,0.9004490547696576,0.9237957554287587,0.02334670065910105,2.67695,2.798698570704137,0.011094583044558837,2.67695,2.80494,0.12799000000000005,63.15534607438017,63.43031581725672,0.18787826192768975,62.15134297520662,63.54274276859504,1.3913997933884232,84.18452995867769,86.09578297854752,0.5437456212737714,81.00464876033058,86.5024535123967,5.497804752066116,59.75061857012632,59.07514718169235,0.32558778452093484,58.350696705300166,60.229196509962236,1.87849980466207,78.72769891913009,82.58553959994818,0.8074921758496485,75.00976689673135,82.86235186873292,7.852584972001566,55.921297675804524,54.41887867051046,0.6142229632899923,53.71629171632897,56.73793206197855,3.0216403456495797,73.54737783075089,79.04421484875574,0.9145120135877693,69.89999255065554,79.31317044100119,9.41317789034565,51.349934774506146,49.38046449937814,0.7567517374903409,48.62502329481923,52.28988073052553,3.6648574357063026,66.3156913902348,73.8152496211782,1.08793658217329,62.90882407752516,74.10839079388744,11.199566716362277,45.7517379430203,43.71850450417713,0.7172292479640417,42.77163118366333,46.61605424864999,3.844423064986657,57.548414126993976,66.29691419567274,1.2338578933773525,54.52059152132084,66.5977437775433,12.077152256222462
aurothiomalate,-0.23596,-0.23304890265547418,0.004397345957787794,-0.23647,-0.22434,0.012130000000000002,-0.12665,-0.1241105390734196,0.005409189929294092,-0.12848,-0.11047,0.018010000000000012,-0.181305,-0.17857972086444687,0.004859037326334552,-0.182475,-0.16818,0.014295000000000002,0.10930999999999999,0.10893836358205457,0.0016586136899376506,0.10726,0.11542000000000001,0.008160000000000014,0.15036,0.1465620602080302,0.009177167000849052,0.12253,0.15417,0.03164,104.521,104.86952313165963,0.8978914510079655,103.395,108.242,4.847000000000008,33.0412,35.96116173337994,4.620846491576683,31.6006,68.3335,36.7329,2.0923,1.875779865023568,0.6066884600956032,0.8776,3.4109,2.5332999999999997,337.58315749820656,334.1621580736538,5.463699319490922,322.86435094830983,339.8033777910956,16.93902684278578,503.51158289879857,498.7679418322508,6.499224868447151,484.7626070613281,504.32513062801956,19.562523566691482,0.9066569548233028,0.9102672438014561,0.007161116664890225,0.9017029821251299,0.9243081258585466,0.02260514373341671,1.51408,1.5129188333500239,0.0017439544915665243,1.51103,1.51838,0.007349999999999968,95.10911673553719,94.7860108128476,0.7749919870440504,94.17613636363636,96.86531508264463,2.689178719008268,97.99522210743802,98.01567725997967,0.26250324510610845,97.35601756198346,98.35356404958677,0.9975464876033016,84.68062247688502,84.57463431051508,1.5604886619051774,82.59213439249903,88.43762208620915,5.845487693710112,87.56999609324131,87.14242794003206,0.7959701618451809,84.90037765334027,87.61231931241046,2.7119416590701917,69.15692044100119,69.68725525093771,2.4637179214610057,67.13535458879618,75.13036352800954,7.995008939213363,75.29052443384982,74.49224416715697,1.1414724793963507,71.49694576877235,75.40785160905841,3.9109058402860626,53.506452664927316,54.358672150263494,3.0029096748353235,51.600354081252334,60.46985650391353,8.8695024226612,64.97856876630638,64.26202316241803,1.1381360775114773,61.64508013417815,65.40369921729408,3.7586190831159243,42.398051021041525,43.39788527626624,2.953423892038571,40.9157563155608,49.16827012600087,8.252513810440071,54.83947303084848,54.19805359369515,1.0511987829958047,50.63078021227733,55.28210539383031,4.651325181552977
aurothioprol,-0.24852,-0.23971897975554501,0.0011136047716253424,-0.25416,-0.23967,0.014490000000000003,-0.12062,-0.07771634968127482,0.004686874231299036,-0.13328,-0.07738,0.055900000000000005,-0.18457,-0.15871766471840992,0.002896984777867196,-0.19372,-0.158525,0.035195000000000004,0.12789999999999999,0.16200263007427018,0.0035838147387980785,0.12087999999999999,0.16229,0.04141,0.13317,0.07787042158093523,0.0063239550389419886,0.07742,0.15523,0.07781,111.663,109.45910519107227,0.22760767927436076,109.459,112.051,2.5919999999999987,37.9427,36.444899908261206,0.3288466073087025,31.5705,37.9427,6.372200000000003,3.2449,3.895348218830094,0.05170102075612009,3.2449,3.8998,0.6549,326.45399229543153,322.5270086636557,0.5112085067763312,322.48397161826955,329.1535406115893,6.669568993319729,498.49311562219435,490.1000914675092,1.0356325978988754,490.0467955130123,503.3415380751147,13.294742562102442,0.9313256918060272,0.9318541238201371,0.00025913469762276755,0.9296670558703353,0.9321111285503931,0.0024440726800578627,4.45509,4.617730544854888,0.057795124701261955,3.73226,4.62182,0.8895599999999995,98.60537190082644,98.80770591883234,0.03176820601406139,98.60537190082644,98.8410382231405,0.23566632231406004,63.40715392561983,61.87740003249821,0.4480492336620713,61.828512396694215,68.66606404958677,6.83755165289255,91.00468811043105,91.25152601870978,0.030805904774409806,91.00468811043105,91.2814168511525,0.2767287407214525,58.29697877327777,56.662140148200145,0.4554109892857365,56.638234145070975,63.56296392759474,6.924729782523762,78.37548420738975,77.78014393477072,0.04713571890407325,77.78139898688914,78.37548420738975,0.5940852205006024,53.00953516090584,51.344022689521985,0.46141602486290195,51.30177294398093,58.32091775923719,7.019144815256261,63.424804323518444,62.147934967484865,0.09811596623067527,62.141259783824076,63.424804323518444,1.2835445396943683,47.33390793887439,45.63065030972681,0.48028450810903905,45.60310286992173,52.912434774506146,7.309331904584418,50.68004779343306,49.360823928747465,0.10747262333476769,49.359909378685366,50.68004779343306,1.3201384147476958,40.97355843833406,39.08056722493762,0.4837700566870653,39.05018310471107,46.35885419899448,7.308671094283412
aurothiosulfate,-0.4675,-0.4674949920566518,7.071058888634395e-06,-0.4675,-0.46749,1.0000000000010001e-05,-0.40657,-0.40656499205665175,7.071058888634395e-06,-0.40657,-0.40656,1.0000000000010001e-05,-0.437035,-0.4370299920566517,7.071058888634396e-06,-0.437035,-0.437025,1.0000000000010001e-05,0.06093000000000004,0.06093000000000005,9.813077866773595e-18,0.06093000000000004,0.06093000000000004,0.0,1.56737,1.567334944396562,4.9497412220401514e-05,1.5673,1.56737,7.00000000000145e-05,174.43,174.4264944396562,0.004949741222042664,174.423,174.43,0.007000000000005002,235.162,235.15098252463378,0.015556329554994102,235.14,235.162,0.02200000000001978,0.0017,0.001048967364720662,0.0009192376555215521,0.0004,0.0017,0.0013,388.5302473897369,388.7005156755899,0.24041347762844695,388.5302473897369,388.87024381943024,0.3399964296933149,576.3300764325677,576.4712000141824,0.1992620696298022,576.3300764325677,576.6118759095177,0.2817994769500274,0.8619991007070406,0.8617622528244998,0.00033442177928404615,0.8615261562943983,0.8619991007070406,0.00047294441264222886,3.42433,2.834083781082359,0.8334091427313937,2.24571,3.42433,1.17862,58.89075413223141,58.91985504270063,0.04108957257079008,58.89075413223141,58.94886363636363,0.05810950413222571,98.06947314049587,78.07068077915059,28.237667372262397,58.1353305785124,98.06947314049587,39.93414256198347,56.62358379997395,56.61217098468612,0.016114537120845006,56.60079437426748,56.62358379997395,0.022789425706470468,89.51849199114467,71.64357764711696,25.23881824634251,53.825367886443544,89.51849199114467,35.69312410470113,53.167833730631706,53.16130519900214,0.009218081834845689,53.154797377830754,53.167833730631706,0.0130363528009525,74.27927592371871,61.885324948675276,17.499869929039132,49.530691299165674,74.27927592371871,24.74858462455304,48.81429370108088,48.807002505141895,0.01029493991192334,48.79973443906076,48.81429370108088,0.014559262020121366,56.133525903838986,50.45105943682866,8.02346436975953,44.78661945583302,56.133525903838986,11.346906448005967,43.587455775557075,43.57890767537222,0.012069649272997151,43.57038669232202,43.587455775557075,0.017069083235057292,42.3518869095649,40.92474272870125,2.0150828081689687,39.50212587673018,42.3518869095649,2.8497610328347136
