molecule_chembl_id,molecule_name,formula,total_assays,median_IC50_uM,Active,Inactive
CHEMBL319263,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(1,1,3,3-tetramethyl butylamine)-platinium (IV)",C8H22Cl2N2O2Pt,8,0.775,8,0
CHEMBL319021,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(diethylamine)-platinium (IV)",C4H14Cl2N2O2Pt,8,3.3,8,0
CHEMBL322197,trans-Amminetetrachloro(quinuclidine)-platinium (IV),C7H16Cl4N2Pt,8,16.0,8,0
CHEMBL323516,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)",C12H26Cl2N4O4Pt,8,5.9,8,0
CHEMBL319686,"trans-a,f-Dichloro-b,d-bis(cyclohexylamine)-c,e-dihydroxo-platinium (IV)",C12H26Cl2N2O2Pt,8,1.0,8,0
CHEMBL320447,Trans-Amminedichloro(cycloheptylamine)platinium (II),C7H16Cl2N2Pt,8,4.25,8,0
CHEMBL320638,trans-(1-Aminoadamantane)Amminedichloro-platinium (II),C10H22Cl2N2Pt,8,0.645,8,0
CHEMBL2068331,"8,8-platinumdichloro-(6R)-1,7-diazoniabicyclo[4.2.1]nonane",C6H12Cl2N2Pt,8,6.550000000000001,8,0
CHEMBL2068330,Platinum complex,C6H12Cl2N2Pt,8,7.699999999999999,8,0
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),C4H12Cl2N2Pt,8,50.0,8,0
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,8,5.05,8,0
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,8,0.9400000000000001,8,0
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,8,2.45,8,0
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,8,1.6,8,0
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,8,1.6,8,0
