molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,IC50_uM,pchembl_value,standard_units
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,41M,In vitro antitumor activity against 41M cell line.,=,26.0,4.58,nM
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,47.0,4.33,nM
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,100.0,4.00,nM
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,47.0,4.33,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,7.1,5.15,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,4.5,5.35,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,4.1,5.39,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,4.0,5.40,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,4.4,5.36,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,4.8,5.32,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,2.3,5.64,nM
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,4.8,5.32,nM
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1.3,5.89,nM
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1.3,5.89,nM
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1.1,5.96,nM
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,8.2,5.09,nM
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1.1,5.96,nM
