Molecule,4(N)_q(N)_Hirshfeld,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N),4(N)_q(N)_div_Sum_q(N)_neighbors_Hirshfeld,4(N)_q(N)_res_Sum_q(N)_neighbors_Hirshfeld,4(N)_Sum_q(N)_neighbors_div_q(N)_Hirshfeld,4(N)_Avg_q(N)_neighbors_Hirshfeld,4(N)_Std_q(N)_neighbors_Hirshfeld,4(N)_Abs_Diff_q(N)_Hirshfeld,4(N)_q(N)_x_Avg_q(N)_neighbors_Hirshfeld,4(N)_Num_neighbors_Hirshfeld,4(N)_Entropy_q(N)_neighbors_Hirshfeld,sum_frag_q(N)_Hirshfeld,sum_frag_Density of all electrons_N,sum_frag_Density of Alpha electrons_N,sum_frag_Density of Beta electrons_N,sum_frag_Lagrangian kinetic energy G(r)_N,sum_frag_Hamiltonian kinetic energy K(r)_N,sum_frag_Potential energy density V(r)_N,sum_frag_Energy density E(r) or H(r)_N,sum_frag_Laplacian of electron density_N,sum_frag_Electron localization function (ELF)_N,sum_frag_Localized orbital locator (LOL)_N,sum_frag_Local information entropy_N,sum_frag_Sign(lambda2)*rho_N,sum_frag_Sign(lambda2)*rho with promolecular approximation_N,sum_frag_Average local ionization energy (ALIE)_N,sum_frag_Delta-g (under promolecular approximation)_N,sum_frag_Delta-g (under Hirshfeld partition)_N,sum_frag_ESP from nuclear charges_N,sum_frag_ESP from electrons_N,sum_frag_Total ESP_N,sum_frag_q(N)_div_Sum_q(N)_neighbors_Hirshfeld,sum_frag_q(N)_res_Sum_q(N)_neighbors_Hirshfeld,sum_frag_Sum_q(N)_neighbors_div_q(N)_Hirshfeld,sum_frag_Avg_q(N)_neighbors_Hirshfeld,sum_frag_Std_q(N)_neighbors_Hirshfeld,sum_frag_Abs_Diff_q(N)_Hirshfeld,sum_frag_q(N)_x_Avg_q(N)_neighbors_Hirshfeld,sum_frag_Num_neighbors_Hirshfeld,sum_frag_Entropy_q(N)_neighbors_Hirshfeld,G_div_V_N_4(N),sum_frag_G_div_V_N
imifoplatin-conf_2,-0.071890015,195.4911938,97.74559688,97.74559688,18.7604792,367393.3541,-367412.1146,-367393.3541,-1469498.374,0.9999990154,0.9990087133,-0.1606671936,-193.1620621,-193.1620621,13.91017179,0.04951872003,0.07069875045,2009972.594,-44.15467788,2009928.439,-0.1293473600404901,-0.6276803688,-7.731120292574706,0.13894758845,0.0752768722919378,0.21083760345,-0.0099889442178843,4,1.7623709910188328,-0.071890015,195.4911938,97.74559688,97.74559688,18.7604792,367393.3541,-367412.1146,-367393.3541,-1469498.374,0.9999990154,0.9990087133,-0.1606671936,-193.1620621,-193.1620621,13.91017179,0.04951872003,0.07069875045,2009972.594,-44.15467788,2009928.439,-0.1293473600404901,-0.6276803688,-7.731120292574706,0.13894758845,0.0752768722919378,0.21083760345,-0.0099889442178843,4,1.7623709910188328,5.106113395423679e-05,5.106113395423679e-05
imifoplatin-conf_3,-0.0742397911,195.4939391,97.74696955,97.74696955,18.75462541,367398.2991,-367417.0537,-367398.2991,-1469518.178,0.9999990161,0.9990090455,-0.1606855991,-193.1617903,-193.1617903,13.90367804,0.04955529317,0.07077483798,1951944.458,-44.14254939,1951900.315,-0.1332157375876517,-0.6315297363,-7.506620599852416,0.1393224863,0.0768539288822484,0.2135622774,-0.0103432722784446,4,1.7558279035313271,-0.0742397911,195.4939391,97.74696955,97.74696955,18.75462541,367398.2991,-367417.0537,-367398.2991,-1469518.178,0.9999990161,0.9990090455,-0.1606855991,-193.1617903,-193.1617903,13.90367804,0.04955529317,0.07077483798,1951944.458,-44.14254939,1951900.315,-0.1332157375876517,-0.6315297363,-7.506620599852416,0.1393224863,0.0768539288822484,0.2135622774,-0.0103432722784446,4,1.7558279035313271,5.10445152753126e-05,5.10445152753126e-05
iproplatin,-0.0679462849,195.5553679,97.77768394,97.77768394,18.71028669,367502.0949,-367520.8052,-367502.0949,-1469933.538,0.9999990217,0.9990119029,-0.4939755033,-193.1634635,-193.1634635,13.87877887,0.04982713602,0.07138727949,2457014.067,-42.33024987,2456971.736,-0.0828462643055881,-0.8880953341,-12.070550294354652,0.2050372623,0.1959321459775275,0.2729835472,-0.0139315202393518,4,1.4265150278206309,-0.0679462849,195.5553679,97.77768394,97.77768394,18.71028669,367502.0949,-367520.8052,-367502.0949,-1469933.538,0.9999990217,0.9990119029,-0.4939755033,-193.1634635,-193.1634635,13.87877887,0.04982713602,0.07138727949,2457014.067,-42.33024987,2456971.736,-0.0828462643055881,-0.8880953341,-12.070550294354652,0.2050372623,0.1959321459775275,0.2729835472,-0.0139315202393518,4,1.4265150278206309,5.090946260802326e-05,5.090946260802326e-05
iproplatin-conf_1,-0.0672296515,195.5578543,97.77892715,97.77892715,18.70731325,367505.7106,-367524.4179,-367505.7106,-1469948.013,0.9999990221,0.9990120807,-0.4939998016,-193.1635913,-193.1635913,13.87804029,0.04967687913,0.07103888278,2523918.521,-42.76006361,2523875.761,-0.0822624303028726,-0.8844879218,-12.156217562722306,0.204314567575,0.1978277560003788,0.271544219075,-0.0137359971744404,4,1.4147842095626744,-0.0672296515,195.5578543,97.77892715,97.77892715,18.70731325,367505.7106,-367524.4179,-367505.7106,-1469948.013,0.9999990221,0.9990120807,-0.4939998016,-193.1635913,-193.1635913,13.87804029,0.04967687913,0.07103888278,2523918.521,-42.76006361,2523875.761,-0.0822624303028726,-0.8844879218,-12.156217562722306,0.204314567575,0.1978277560003788,0.271544219075,-0.0137359971744404,4,1.4147842095626744,5.09008717213725e-05,5.09008717213725e-05
iproplatin-conf_10,-0.065146474,195.5609885,97.78049423,97.78049423,18.6926432,367514.5976,-367533.2902,-367514.5976,-1469983.62,0.9999990237,0.999012881,-0.4940304304,-193.16331,-193.16331,13.87893416,0.05042459569,0.07192456478,2387205.382,-42.73679925,2387162.645,-0.0797246377502211,-0.8822900301,-12.543173957503823,0.204285889025,0.1966318601870791,0.269432363025,-0.013308505357934,4,1.4189175978507906,-0.065146474,195.5609885,97.78049423,97.78049423,18.6926432,367514.5976,-367533.2902,-367514.5976,-1469983.62,0.9999990237,0.999012881,-0.4940304304,-193.16331,-193.16331,13.87893416,0.05042459569,0.07192456478,2387205.382,-42.73679925,2387162.645,-0.0797246377502211,-0.8822900301,-12.543173957503823,0.204285889025,0.1966318601870791,0.269432363025,-0.013308505357934,4,1.4189175978507906,5.085972808021841e-05,5.085972808021841e-05
iproplatin-conf_2,-0.0693571488,195.5559451,97.77797256,97.77797256,18.713637,367501.1076,-367519.8212,-367501.1076,-1469929.576,0.9999990214,0.999011731,-0.4939811444,-193.1635719,-193.1635719,13.87585042,0.04955074014,0.07095102853,2511913.303,-42.50502016,2511870.798,-0.0851380713075706,-0.8840003247,-11.745626658459178,0.203660793975,0.1975580944524273,0.273017942775,-0.0141253319924502,4,1.412391386049057,-0.0693571488,195.5559451,97.77797256,97.77797256,18.713637,367501.1076,-367519.8212,-367501.1076,-1469929.576,0.9999990214,0.999011731,-0.4939811444,-193.1635719,-193.1635719,13.87585042,0.04955074014,0.07095102853,2511913.303,-42.50502016,2511870.798,-0.0851380713075706,-0.8840003247,-11.745626658459178,0.203660793975,0.1975580944524273,0.273017942775,-0.0141253319924502,4,1.412391386049057,5.0918714911477534e-05,5.0918714911477534e-05
iproplatin-conf_3,-0.0634223426,195.5595654,97.7797827,97.7797827,18.68780708,367509.6082,-367528.296,-367509.6082,-1469963.682,0.9999990242,0.9990131242,-0.4940165233,-193.1633445,-193.1633445,13.88056678,0.05028432686,0.07173039813,2403982.68,-42.75897083,2403939.921,-0.0771965283658675,-0.8849922233,-12.9539504064298,0.205392470175,0.1968719886935594,0.268814812775,-0.0130264716108991,4,1.4219544861842577,-0.0634223426,195.5595654,97.7797827,97.7797827,18.68780708,367509.6082,-367528.296,-367509.6082,-1469963.682,0.9999990242,0.9990131242,-0.4940165233,-193.1633445,-193.1633445,13.88056678,0.05028432686,0.07173039813,2403982.68,-42.75897083,2403939.921,-0.0771965283658675,-0.8849922233,-12.9539504064298,0.205392470175,0.1968719886935594,0.268814812775,-0.0130264716108991,4,1.4219544861842577,5.0847260696357374e-05,5.0847260696357374e-05
iproplatin-conf_4,-0.0675157972,195.5581724,97.77908618,97.77908618,18.70647205,367507.0402,-367525.7467,-367507.0402,-1469953.335,0.9999990222,0.9990121278,-0.4940029099,-193.163581,-193.163581,13.87742174,0.04999053459,0.07146043696,2507743.243,-42.88237308,2507700.361,-0.082541317573341,-0.8854794448,-12.115144625738049,0.2044909119,0.1985468495053632,0.2720067091,-0.0138063669370834,4,1.4128958735768753,-0.0675157972,195.5581724,97.77908618,97.77908618,18.70647205,367507.0402,-367525.7467,-367507.0402,-1469953.335,0.9999990222,0.9990121278,-0.4940029099,-193.163581,-193.163581,13.87742174,0.04999053459,0.07146043696,2507743.243,-42.88237308,2507700.361,-0.082541317573341,-0.8854794448,-12.115144625738049,0.2044909119,0.1985468495053632,0.2720067091,-0.0138063669370834,4,1.4128958735768753,5.089839886855469e-05,5.089839886855469e-05
iproplatin-conf_5,-0.0703716332,195.5579789,97.77898944,97.77898944,18.70679633,367503.8088,-367522.5156,-367503.8088,-1469940.408,0.9999990221,0.999012109,-0.494001019,-193.1635521,-193.1635521,13.87514443,0.04962403732,0.07100456986,2508388.173,-42.45460276,2508345.718,-0.0868112520845069,-0.880999651,-11.519244060972,0.20265700445,0.1980444632180878,0.27302863765,-0.0142613043825661,4,1.4043302797459074,-0.0703716332,195.5579789,97.77898944,97.77898944,18.70679633,367503.8088,-367522.5156,-367503.8088,-1469940.408,0.9999990221,0.999012109,-0.494001019,-193.1635521,-193.1635521,13.87514443,0.04962403732,0.07100456986,2508388.173,-42.45460276,2508345.718,-0.0868112520845069,-0.880999651,-11.519244060972,0.20265700445,0.1980444632180878,0.27302863765,-0.0142613043825661,4,1.4043302797459074,5.08997286859015e-05,5.08997286859015e-05
iproplatin-conf_6,-0.067318754,195.5599468,97.77997339,97.77997339,18.66258088,367507.6181,-367526.2807,-367507.6181,-1469955.822,0.9999990268,0.9990144582,-0.4940202505,-193.1626616,-193.1626616,13.88022329,0.05019049358,0.0715832188,2270759.325,-42.21362617,2270717.112,-0.0811283579820914,-0.8970995566,-12.326146182087683,0.20744520065,0.1969350221504541,0.27476395465,-0.0139649524310379,4,1.4360664990944163,-0.067318754,195.5599468,97.77997339,97.77997339,18.66258088,367507.6181,-367526.2807,-367507.6181,-1469955.822,0.9999990268,0.9990144582,-0.4940202505,-193.1626616,-193.1626616,13.88022329,0.05019049358,0.0715832188,2270759.325,-42.21362617,2270717.112,-0.0811283579820914,-0.8970995566,-12.326146182087683,0.20744520065,0.1969350221504541,0.27476395465,-0.0139649524310379,4,1.4360664990944163,5.077890170045736e-05,5.077890170045736e-05
