Molecule,Density of all electrons_N+1_4(N),Density of Alpha electrons_N+1_4(N),Density of Beta electrons_N+1_4(N),Lagrangian kinetic energy G(r)_N+1_4(N),Hamiltonian kinetic energy K(r)_N+1_4(N),Potential energy density V(r)_N+1_4(N),Energy density E(r) or H(r)_N+1_4(N),Laplacian of electron density_N+1_4(N),Electron localization function (ELF)_N+1_4(N),Localized orbital locator (LOL)_N+1_4(N),Local information entropy_N+1_4(N),Sign(lambda2)*rho_N+1_4(N),Sign(lambda2)*rho with promolecular approximation_N+1_4(N),Average local ionization energy (ALIE)_N+1_4(N),Delta-g (under promolecular approximation)_N+1_4(N),Delta-g (under Hirshfeld partition)_N+1_4(N),ESP from nuclear charges_N+1_4(N),ESP from electrons_N+1_4(N),Total ESP_N+1_4(N)
CHEMBL1743583,0.1955273411E+03,0.9786782584E+02,0.9765951521E+02,0.1857826488E+02,0.3674244739E+06,-0.3674430521E+06,-0.3674244739E+06,-0.1469623582E+07,0.9999990351E+00,0.9990186346E+00,-0.8159187172E+00,-0.1931569138E+03,-0.1931569138E+03,0.1395067917E+02,0.5102046918E-01,0.7276259704E-01,0.1359425114E+07,-0.3779818669E+02,0.1359387316E+07
CHEMBL1743583-conf_1,0.1954794440E+03,0.9774920070E+02,0.9773024332E+02,0.1880101895E+02,0.3673569548E+06,-0.3673757558E+06,-0.3673569548E+06,-0.1469352615E+07,0.9999990109E+00,0.9990064739E+00,-0.8153164003E+00,-0.1931635453E+03,-0.1931635453E+03,0.1398285081E+02,0.4872227899E-01,0.6999270965E-01,0.2441634092E+07,-0.3909642185E+02,0.2441594996E+07
CHEMBL1743583-conf_2,0.1955114644E+03,0.9782170481E+02,0.9768975956E+02,0.1864399335E+02,0.3674034941E+06,-0.3674221381E+06,-0.3674034941E+06,-0.1469539400E+07,0.9999990280E+00,0.9990150325E+00,-0.8157190531E+00,-0.1931593632E+03,-0.1931593632E+03,0.1396629200E+02,0.5034845035E-01,0.7196663581E-01,0.1625907992E+07,-0.3845280442E+02,0.1625869539E+07
CHEMBL1743593,0.1954920657E+03,0.9780148064E+02,0.9769058508E+02,0.1856604787E+02,0.3673594451E+06,-0.3673780112E+06,-0.3673594451E+06,-0.1469363516E+07,0.9999990357E+00,0.9990189842E+00,-0.1278245732E+01,-0.1931573891E+03,-0.1931573891E+03,0.1395374975E+02,0.5106054416E-01,0.7277109987E-01,0.1392580765E+07,-0.3524330400E+02,0.1392545522E+07
CHEMBL1743593-conf_1,0.1955072808E+03,0.9781506866E+02,0.9769221210E+02,0.1855338476E+02,0.3673852502E+06,-0.3674038036E+06,-0.3673852502E+06,-0.1469466787E+07,0.9999990373E+00,0.9990197798E+00,-0.1278495867E+01,-0.1931573950E+03,-0.1931573950E+03,0.1395352978E+02,0.5125200866E-01,0.7300738842E-01,0.1393672329E+07,-0.3520771153E+02,0.1393637121E+07
CHEMBL1743593-conf_10,0.1954530687E+03,0.9773769493E+02,0.9771537373E+02,0.1864308523E+02,0.3672924528E+06,-0.3673110958E+06,-0.3672924528E+06,-0.1469095239E+07,0.9999990271E+00,0.9990145902E+00,-0.1277604674E+01,-0.1931596558E+03,-0.1931596558E+03,0.1397451636E+02,0.5117984627E-01,0.7279520965E-01,0.1650161874E+07,-0.3562419848E+02,0.1650126250E+07
CHEMBL1743593-conf_2,0.1955072289E+03,0.9781502401E+02,0.9769220487E+02,0.1855372171E+02,0.3673855039E+06,-0.3674040576E+06,-0.3673855039E+06,-0.1469467801E+07,0.9999990373E+00,0.9990197615E+00,-0.1278495014E+01,-0.1931573930E+03,-0.1931573930E+03,0.1395343783E+02,0.5125060163E-01,0.7300668825E-01,0.1393214114E+07,-0.3520725143E+02,0.1393178907E+07
CHEMBL1743593-conf_3,0.1955303872E+03,0.9786460209E+02,0.9766578510E+02,0.1854273798E+02,0.3674248211E+06,-0.3674433639E+06,-0.3674248211E+06,-0.1469625114E+07,0.9999990388E+00,0.9990205348E+00,-0.1278875758E+01,-0.1931560767E+03,-0.1931560767E+03,0.1393887278E+02,0.5122337188E-01,0.7309858923E-01,0.1271811975E+07,-0.3490290604E+02,0.1271777072E+07
CHEMBL1743593-conf_4,0.1955161962E+03,0.9784641857E+02,0.9766977765E+02,0.1856076854E+02,0.3674002451E+06,-0.3674188058E+06,-0.3674002451E+06,-0.1469526737E+07,0.9999990367E+00,0.9990194647E+00,-0.1278642442E+01,-0.1931558467E+03,-0.1931558467E+03,0.1393654826E+02,0.5125054602E-01,0.7312436498E-01,0.1260586545E+07,-0.3488235205E+02,0.1260551663E+07
CHEMBL1743593-conf_5,0.1955072430E+03,0.9781503986E+02,0.9769220316E+02,0.1855371155E+02,0.3673855305E+06,-0.3674040842E+06,-0.3673855305E+06,-0.1469467907E+07,0.9999990373E+00,0.9990197622E+00,-0.1278495246E+01,-0.1931573926E+03,-0.1931573926E+03,0.1395343393E+02,0.5125101652E-01,0.7300726094E-01,0.1393163652E+07,-0.3520716123E+02,0.1393128445E+07
CHEMBL1743593-conf_6,0.1954930342E+03,0.9780243070E+02,0.9769060347E+02,0.1856592204E+02,0.3673612919E+06,-0.3673798578E+06,-0.3673612919E+06,-0.1469370904E+07,0.9999990358E+00,0.9990189990E+00,-0.1278261653E+01,-0.1931573765E+03,-0.1931573765E+03,0.1395365240E+02,0.5107141043E-01,0.7278760884E-01,0.1390912645E+07,-0.3525397983E+02,0.1390877391E+07
CHEMBL1743593-conf_7,0.1954507843E+03,0.9773645773E+02,0.9771432653E+02,0.1864531050E+02,0.3672874721E+06,-0.3673061174E+06,-0.3672874721E+06,-0.1469075307E+07,0.9999990268E+00,0.9990144535E+00,-0.1277567124E+01,-0.1931597048E+03,-0.1931597048E+03,0.1397467265E+02,0.5117094430E-01,0.7279127196E-01,0.1656869750E+07,-0.3561158796E+02,0.1656834138E+07
CHEMBL1743593-conf_8,0.1954894477E+03,0.9780093506E+02,0.9768851260E+02,0.1857949738E+02,0.3673547681E+06,-0.3673733476E+06,-0.3673547681E+06,-0.1469344754E+07,0.9999990343E+00,0.9990182524E+00,-0.1278202692E+01,-0.1931576119E+03,-0.1931576119E+03,0.1395457195E+02,0.5126244258E-01,0.7302767469E-01,0.1419484593E+07,-0.3531612395E+02,0.1419449277E+07
CHEMBL1743593-conf_9,0.1955148800E+03,0.9781810400E+02,0.9769677596E+02,0.1853728392E+02,0.3674021672E+06,-0.3674207045E+06,-0.3674021672E+06,-0.1469534520E+07,0.9999990391E+00,0.9990206930E+00,-0.1278620802E+01,-0.1931572375E+03,-0.1931572375E+03,0.1395352146E+02,0.5103740206E-01,0.7271273117E-01,0.1386207460E+07,-0.3514210930E+02,0.1386172318E+07
CHEMBL1743594,0.1954732044E+03,0.9774121789E+02,0.9773198649E+02,0.1880660830E+02,0.3673487568E+06,-0.3673675634E+06,-0.3673487568E+06,-0.1469319801E+07,0.9999990102E+00,0.9990061260E+00,0.1644266974E+00,-0.1931637460E+03,-0.1931637460E+03,0.1397864315E+02,0.4809545528E-01,0.6905540836E-01,0.2651065567E+07,-0.5109028829E+02,0.2651014477E+07
CHEMBL1743594-conf_1,0.1954875296E+03,0.9774821902E+02,0.9773931054E+02,0.1883625891E+02,0.3673877487E+06,-0.3674065849E+06,-0.3673877487E+06,-0.1469475650E+07,0.9999990074E+00,0.9990046821E+00,0.1643788072E+00,-0.1931643076E+03,-0.1931643076E+03,0.1395148219E+02,0.4766186446E-01,0.6884666831E-01,0.2921960947E+07,-0.5311151958E+02,0.2921907835E+07
CHEMBL1743594-conf_10,0.1954732881E+03,0.9774089295E+02,0.9773239512E+02,0.1875394219E+02,0.3673488660E+06,-0.3673676199E+06,-0.3673488660E+06,-0.1469320448E+07,0.9999990158E+00,0.9990089072E+00,0.1644264177E+00,-0.1931632644E+03,-0.1931632644E+03,0.1398605546E+02,0.4910733975E-01,0.7019526453E-01,0.2471526844E+07,-0.5109308975E+02,0.2471475751E+07
CHEMBL1743594-conf_2,0.1954648941E+03,0.9774016029E+02,0.9772473377E+02,0.1877425970E+02,0.3673354613E+06,-0.3673542356E+06,-0.3673354613E+06,-0.1469266748E+07,0.9999990135E+00,0.9990077636E+00,0.1644544775E+00,-0.1931634866E+03,-0.1931634866E+03,0.1397559720E+02,0.4991625325E-01,0.7128645310E-01,0.2483040559E+07,-0.5241365215E+02,0.2482988146E+07
CHEMBL1743594-conf_3,0.1954793007E+03,0.9775009778E+02,0.9772920294E+02,0.1875368592E+02,0.3673604075E+06,-0.3673791611E+06,-0.3673604075E+06,-0.1469366615E+07,0.9999990159E+00,0.9990089715E+00,0.1644063174E+00,-0.1931633760E+03,-0.1931633760E+03,0.1397450524E+02,0.4941930508E-01,0.7067923972E-01,0.2457184985E+07,-0.5144959201E+02,0.2457133535E+07
CHEMBL1743594-conf_4,,,,,,,,,,,,,,,,,,,
CHEMBL1743594-conf_5,0.1954821941E+03,0.9774524029E+02,0.9773695378E+02,0.1882939847E+02,0.3673800517E+06,-0.3673988811E+06,-0.3673800517E+06,-0.1469444889E+07,0.9999990080E+00,0.9990049990E+00,0.1643966447E+00,-0.1931652404E+03,-0.1931652404E+03,0.1396170928E+02,0.4883664280E-01,0.7012198735E-01,0.3219823122E+07,-0.5491615190E+02,0.3219768206E+07
CHEMBL1743594-conf_6,0.1954856366E+03,0.9774655541E+02,0.9773908117E+02,0.1883830326E+02,0.3673795050E+06,-0.3673983433E+06,-0.3673795050E+06,-0.1469442667E+07,0.9999990071E+00,0.9990045581E+00,0.1643851358E+00,-0.1931644538E+03,-0.1931644538E+03,0.1395529820E+02,0.4713815067E-01,0.6823683095E-01,0.3005842936E+07,-0.5356563527E+02,0.3005789370E+07
CHEMBL1743594-conf_7,0.1954996790E+03,0.9785107813E+02,0.9764860086E+02,0.1867721100E+02,0.3673806765E+06,-0.3673993537E+06,-0.3673806765E+06,-0.1469447997E+07,0.9999990244E+00,0.9990131807E+00,0.1643381872E+00,-0.1931582878E+03,-0.1931582878E+03,0.1392658608E+02,0.5032372146E-01,0.7199957957E-01,0.1488930644E+07,-0.5107410566E+02,0.1488879570E+07
CHEMBL1743594-conf_8,0.1955002547E+03,0.9785215363E+02,0.9764810103E+02,0.1868050112E+02,0.3673815758E+06,-0.3674002563E+06,-0.3673815758E+06,-0.1469451581E+07,0.9999990240E+00,0.9990130119E+00,0.1643362624E+00,-0.1931584668E+03,-0.1931584668E+03,0.1392558983E+02,0.5029252720E-01,0.7196872953E-01,0.1508011457E+07,-0.5116475999E+02,0.1507960293E+07
