Name,CCDC,Type,PubChem_ID,Metal_Or_Radioisotope,URL_PubChem_2D,Status,Content type,RDKit_Mol,Number of aliphatic atoms,Number of aromatic atoms,Number of heteroatoms in aromatic rings,Number of carbons,Total number of atoms,Number of hydrogens,Number of heteroatoms,NumAmideBonds,NumStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,FractionCSP3,Molecular Formula
Gadobenate dimeglumine,,Imagenology metallodrug,105125,GdIII,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/105125/record/SDF?record_type=2d&response_type=display,200,text/plain,O(C(C(N(C(C(N(C(C(N(C(C(O[H])=O)([H])[H])C(C(O[H])=O)([H])[H])([H])[H])([H])[H])C(C(O[H])=O)([H])[H])([H])[H])([H])[H])C(C(O[H])=O)([H])[H])(C(O[H])=O)[H])([H])[H])C(c1c(c(c(c(c1[H])[H])[H])[H])[H])([H])[H],61,6,0,22,67,31,14,0,1,1,1,0,0,0.5,C22H31N3O11
Gadodiamide,,Imagenology metallodrug,153921,GdIII,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/153921/record/SDF?record_type=2d&response_type=display,200,text/plain,[Gd+3].[O-]C(=O)C(N(C(C(N(C(C(=O)N(C([H])([H])[H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C(N(C(C(=O)N(C([H])([H])[H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])([H])[H],56,0,0,16,56,26,14,2,0,0,0,0,0,0.6875,C16H26GdN5O8
Gadoversetamide,,Imagenology metallodrug,444013,GdIII,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/444013/record/SDF?record_type=2d&response_type=display,200,text/plain,[Gd+3].[O-]C(=O)C(N(C(C(N(C(C(=O)N(C(C(OC([H])([H])[H])([H])[H])([H])[H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C(N(C(C(=O)N(C(C(OC([H])([H])[H])([H])[H])([H])[H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])([H])[H],70,0,0,20,70,34,16,2,0,0,0,0,0,0.75,C20H34GdN5O10
Gadoteridol,,Imagenology metallodrug,60714,GdIII,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/60714/record/SDF?record_type=2d&response_type=display,200,text/plain,[Gd+3].O(C(C(N1C(C(N(C(C(N(C(C(N(C(C1([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H],58,0,0,17,58,29,12,0,1,1,0,1,1,0.823529411764706,C17H29GdN4O7
Gadopiclenol,,Imagenology metallodrug,16223405,GdIII,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/16223405/record/SDF?record_type=2d&response_type=display,200,text/plain,[Gd+3].[O-]C(=O)C(N1C(C(N(C(C(C(C(=O)N(C(C(O[H])(C(O[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])(C([O-])=O)[H])C(c2nc(C(N(C(C1([H])[H])([H])[H])C(C(C(C(=O)N(C(C(O[H])(C(O[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])(C([O-])=O)[H])([H])[H])c(c(c2[H])[H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(=O)N(C(C(O[H])(C(O[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])[H],106,6,1,35,112,54,23,3,6,2,1,0,1,0.685714285714286,C35H54GdN7O15
Mangafodipir,,Imagenology metallodrug,76967443,MnII,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/76967443/record/SDF?record_type=2d&response_type=display,200,text/plain,[Mn+2],1,0,0,0,1,0,1,0,0,0,0,0,0,0,Mn
Ferric ammonium citrate,,Imagenology metallodrug,14457,FeIII,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/14457/record/SDF?record_type=2d&response_type=display,200,text/plain,[Fe+3].O(C(C(C([O-])=O)([H])[H])(C(C([O-])=O)([H])[H])C([O-])=O)[H],19,0,0,6,19,5,8,0,0,0,0,0,0,0.5,C6H5FeO7
64 Cu DOTATATE,,Radioimagenology metallodrugs,124220636,64Cu,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/124220636/record/SDF?record_type=2d&response_type=display,200,text/plain,[64Cu+2].S1SC([C@](N(C(=O)[C@@](N(C(=O)[C@@](N(C(=O)[C@](N(C(=O)[C@@](N(C(=O)[C@@](N(C(=O)[C@](N(C(=O)C(N2C(C(N(C(C(N(C(C(N(C(C2([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])[H])(C(c3c(c(c(c(c3[H])[H])[H])[H])[H])([H])[H])[H])[H])(C1([H])[H])[H])[H])(C(c4c(c(c(O[H])c(c4[H])[H])[H])[H])([H])[H])[H])[H])(C(c5c6c(n(c5[H])[H])c(c(c(c6[H])[H])[H])[H])([H])[H])[H])[H])(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([C@](O[H])(C([H])([H])[H])[H])[H])[H])(C(=O)N([C@@]([C@](O[H])(C([H])([H])[H])[H])(C(O[H])=O)[H])[H])[H])([H])[H],168,21,1,65,189,88,36,8,10,6,4,2,2,0.507692307692308,C65H88CuN14O19S2
51 Cr EDTA,,Radioimagenology metallodrugs,165904,51Cr,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/165904/record/SDF?record_type=2d&response_type=display,200,text/plain,[51Cr+3].[O-]C(=O)C(N(C(C(N(C(C([O-])=O)([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H],33,0,0,10,33,12,11,0,0,0,0,0,0,0.6,C10H12CrN2O8
67 Ga citrate,,Radioimagenology metallodrugs,65430,67Ga,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/65430/record/SDF?record_type=2d&response_type=display,200,text/plain,[67Ga+3].O(C(C(C([O-])=O)([H])[H])(C(C([O-])=O)([H])[H])C([O-])=O)[H],19,0,0,6,19,5,8,0,0,0,0,0,0,0.5,C6H5GaO7
68 Ga DOTATATE,,Radioimagenology metallodrugs,131634491,68Ga,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/131634491/record/SDF?record_type=2d&response_type=display,200,text/plain,[68Ga+3].S1SC([C@](N(C(=O)[C@@](N(C(=O)[C@@](N(C(=O)[C@](N(C(=O)[C@@](N(C(=O)[C@@](N(C(=O)[C@](N(C(=O)C(N2C(C(N(C(C(N(C(C(N(C(C2([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])([H])[H])[H])(C(c3c(c(c(c(c3[H])[H])[H])[H])[H])([H])[H])[H])[H])(C1([H])[H])[H])[H])(C(c4c(c(c(O[H])c(c4[H])[H])[H])[H])([H])[H])[H])[H])(C(c5c6c(n(c5[H])[H])c(c(c(c6[H])[H])[H])[H])([H])[H])[H])[H])(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([C@](O[H])(C([H])([H])[H])[H])[H])[H])(C(=O)N([C@@]([C@](O[H])(C([H])([H])[H])[H])(C(O[H])=O)[H])[H])[H])([H])[H],167,21,1,65,188,87,36,8,10,6,4,2,2,0.507692307692308,C65H87GaN14O19S2
82 RbCl,,Radioimagenology metallodrugs,71357,82Rb,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/71357/record/SDF?record_type=2d&response_type=display,200,text/plain,[82Rb+].[Cl-],2,0,0,0,2,0,2,0,0,0,0,0,0,0,ClRb
85 SrCl2,,Radioimagenology metallodrugs,5464270,85Sr,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/5464270/record/SDF?record_type=2d&response_type=display,200,text/plain,[85Sr+2].[Cl-].[Cl-],3,0,0,0,3,0,3,0,0,0,0,0,0,0,Cl2Sr
99m Tc-disofenin,,Radioimagenology metallodrugs,11430828,99mTc,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/11430828/record/SDF?record_type=2d&response_type=display,200,text/plain,[99Tc].O=C(N(c1c(C(C([H])([H])[H])(C([H])([H])[H])[H])c(c(c(c1C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])[H])[H])C(N(C(C(O[H])=O)([H])[H])C(C(O[H])=O)([H])[H])([H])[H],46,6,0,18,52,26,8,1,0,1,1,0,0,0.5,C18H26N2O5Tc
99m Tc-exametazime,,Radioimagenology metallodrugs,9552071,99mTc,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/9552071/record/SDF?record_type=2d&response_type=display,200,text/plain,O(/N=C(/[C@](N(C(C(C(N([C@](C([H])([H])[H])(/C(=N/O[H])/C([H])([H])[H])[H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])(C([H])([H])[H])[H])\C([H])([H])[H])[H],47,0,0,13,47,28,6,0,2,0,0,0,0,0.846153846153846,C13H28N4O2
99m Tc-mebrofenin,,Radioimagenology metallodrugs,171040121,99mTc,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/171040121/record/SDF?record_type=2d&response_type=display,200,text/plain,[99Tc].Brc1c(c(N(C(=O)C(N(C(C([O-])=O)([H])[H])C(C([O-])=O)([H])[H])([H])[H])[H])c(c(c1C([H])([H])[H])[H])C([H])([H])[H])C([H])([H])[H].Brc1c(c(N(C(=O)C(N(C(C([O-])=O)([H])[H])C(C([O-])=O)([H])[H])([H])[H])[H])c(c(c1C([H])([H])[H])[H])C([H])([H])[H])C([H])([H])[H],69,12,0,30,81,34,17,2,0,2,2,0,0,0.4,C30H34Br2N4O10Tc
99m Tc-medronate,,Radioimagenology metallodrugs,131704315,99mTc,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/131704315/record/SDF?record_type=2d&response_type=display,200,text/plain,[98Tc+4].P([O-])([O-])(=O)C(P([O-])([O-])=O)([H])[H],12,0,0,1,12,2,9,0,0,0,0,0,0,1,CH2O6P2Tc
99m Tc-sestamibi,,Radioimagenology metallodrugs,22617237,99mTc,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/22617237/record/SDF?record_type=2d&response_type=display,200,text/plain,[Tc].O(C(C([N+]#[C-])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].O(C(C([N+]#[C-])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].O(C(C([N+]#[C-])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].O(C(C([N+]#[C-])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].O(C(C([N+]#[C-])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].O(C(C([N+]#[C-])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],115,0,0,36,115,66,13,0,0,0,0,0,0,0.833333333333333,C36H66N6O6Tc
